like1,parLUE_max,parVPD_max,parVPD_min,parT_max,parT_min,chain
-6.297,1.311,5732.0,1298.0,14.5,-6.293,0.0
-4.69,1.556,4630.0,1226.0,1.349,-0.3438,1.0
-8.26,1.22,5864.0,507.2,34.6,-0.7847,2.0
-7.46,1.328,5628.0,503.5,36.78,-9.46,3.0
-7.15,1.437,4508.0,954.5,34.0,-9.664,4.0
-5.0,2.248,5444.0,627.5,19.53,-9.98,0.0
-4.664,2.006,3058.0,1198.0,7.64,-3.268,1.0
-4.637,1.244,5084.0,926.5,2.572,-8.65,2.0
-4.832,2.834,5356.0,953.5,3.459,-0.565,3.0
-6.887,2.168,4756.0,526.5,32.47,-5.99,4.0
-7.586,1.052,4040.0,406.8,26.84,-9.23,0.0
-8.195,1.18,3252.0,888.5,29.89,-0.9316,1.0
-6.324,2.623,4856.0,1277.0,32.62,-5.42,2.0
-6.61,2.281,3212.0,1458.0,25.73,-3.46,3.0
-3.648,2.707,3364.0,1269.0,0.7705,-6.93,4.0
-6.94,2.748,5884.0,1169.0,31.58,-1.878,0.0
-6.35,2.06,5420.0,938.5,13.12,-0.3132,1.0
-3.314,2.406,4344.0,325.5,1.276,-3.871,2.0
-8.09,1.379,5668.0,1261.0,37.78,-1.359,3.0
-7.12,1.594,4780.0,981.5,28.61,-5.85,4.0
-8.24,1.482,3264.0,477.2,37.12,-1.241,0.0
-7.45,2.44,3522.0,864.0,28.27,-0.5146,1.0
-6.17,2.229,4668.0,359.0,26.89,-8.586,2.0
-6.492,2.41,4870.0,661.0,39.34,-9.0,3.0
-7.11,2.24,4452.0,1484.0,25.33,-1.018,4.0
-6.91,1.761,3648.0,1422.0,29.1,-5.855,0.0
-6.18,2.455,3526.0,1485.0,21.11,-2.816,1.0
-6.72,2.68,4500.0,524.5,29.73,-3.828,2.0
-5.477,1.221,3408.0,975.5,4.504,-4.074,3.0
-3.469,2.807,3296.0,1013.5,10.12,-6.75,4.0
-5.656,2.393,4852.0,327.8,19.95,-6.668,0.0
-7.723,1.203,5108.0,421.2,36.88,-8.32,1.0
-7.297,1.786,4664.0,1133.0,39.1,-6.2,2.0
-6.97,2.348,5856.0,509.5,30.94,-3.77,3.0
-4.49,2.273,5908.0,492.2,9.32,-4.32,4.0
-7.74,1.412,4576.0,750.0,34.28,-4.574,0.0
-7.805,1.809,3718.0,1114.0,37.78,-2.133,1.0
-6.703,2.99,3268.0,1381.0,30.92,-2.205,2.0
-6.824,1.589,4300.0,1487.0,19.36,-3.324,3.0
-7.273,1.887,3792.0,950.5,25.08,-2.225,4.0
-3.75,1.605,4604.0,628.0,2.04,-9.34,0.0
-3.79,2.922,4716.0,433.0,13.63,-7.72,1.0
-4.23,2.871,4110.0,354.5,8.52,-3.322,2.0
-5.023,1.746,5336.0,1041.0,14.19,-9.79,3.0
-5.91,1.102,4708.0,469.0,4.414,-4.133,4.0
-7.168,1.33,4744.0,544.0,17.27,-3.584,0.0
-8.11,1.433,5410.0,1463.0,38.4,-1.006,1.0
-5.52,1.65,3388.0,590.5,7.902,-3.906,2.0
-6.387,2.57,3970.0,534.0,13.96,-0.02267,3.0
-4.5,1.442,5010.0,1158.0,5.727,-7.516,4.0
-3.582,2.016,3430.0,619.0,4.24,-7.11,0.0
-7.246,1.956,4744.0,427.8,30.34,-4.395,1.0
-5.04,1.393,3234.0,566.0,3.717,-6.906,2.0
-6.688,1.992,4124.0,730.5,25.69,-5.605,3.0
-7.29,1.636,5732.0,1215.0,36.06,-6.258,4.0
-6.957,2.62,5876.0,399.5,39.8,-5.21,0.0
-5.52,1.578,5200.0,1465.0,10.266,-4.086,1.0
-7.42,2.006,4624.0,489.0,30.42,-2.934,2.0
-3.281,2.18,5196.0,1438.0,0.757,-4.13,3.0
-5.66,2.955,3160.0,1316.0,36.9,-8.984,4.0
-7.176,2.055,3002.0,931.5,27.8,-3.373,0.0
-7.688,1.128,4070.0,1282.0,39.62,-8.94,1.0
-6.777,2.516,4228.0,885.5,33.0,-4.445,2.0
-5.26,2.266,5228.0,1072.0,22.84,-9.28,3.0
-8.07,1.123,5276.0,674.0,30.36,-2.303,4.0
-7.1,1.296,3784.0,400.5,23.31,-9.7,0.0
-5.69,1.536,5716.0,966.0,15.56,-9.305,1.0
-4.31,1.517,4644.0,397.8,1.402,-6.363,2.0
-7.715,1.708,3140.0,361.8,34.22,-4.996,3.0
-3.393,1.826,5100.0,531.0,3.521,-9.32,4.0
-7.57,1.871,3868.0,613.0,36.38,-4.258,0.0
-4.617,2.342,4170.0,1483.0,17.08,-8.01,1.0
-4.96,1.843,5868.0,852.0,14.15,-9.195,2.0
-7.164,2.225,3682.0,1241.0,22.56,-0.3257,3.0
-5.82,2.406,5684.0,1162.0,18.22,-3.213,4.0
-7.504,2.045,5100.0,1007.5,38.22,-3.11,0.0
-3.508,1.787,4476.0,1007.5,5.203,-9.234,1.0
-6.688,2.12,4228.0,1150.0,38.75,-8.46,2.0
-6.64,1.395,5668.0,843.5,17.98,-6.133,3.0
-3.588,2.754,4348.0,550.5,12.91,-9.03,4.0
-6.99,1.527,4736.0,573.5,15.59,-2.176,0.0
-4.684,1.699,4704.0,621.5,2.664,-1.348,1.0
-7.164,1.477,4456.0,1029.0,18.28,-2.107,2.0
-7.484,2.072,3698.0,716.0,37.66,-4.043,3.0
-3.791,2.75,3992.0,1356.0,10.375,-5.68,4.0
-2.697,2.469,3934.0,446.5,0.8887,-8.08,0.0
