like1,parLUE_max,parVPD_max,parVPD_min,parT_max,parT_min,chain
-1.811,1.297,4188.0,1421.0,14.75,-0.851,0.0
-2.23,1.429,3240.0,578.0,16.97,-2.14,1.0
-1.514,2.676,4270.0,706.0,16.25,-1.318,2.0
-1.618,2.26,5324.0,456.0,11.4,-2.312,3.0
-2.219,2.672,5216.0,1314.0,13.56,-9.42,4.0
-1.977,2.203,5588.0,843.5,3.352,-7.816,0.0
-2.602,2.74,5816.0,984.0,3.992,-4.664,1.0
-1.545,2.553,4164.0,1059.0,18.73,-7.35,2.0
-1.685,2.568,3590.0,1287.0,29.84,-2.732,3.0
-2.123,2.979,3768.0,725.0,6.62,-3.424,4.0
-2.09,1.763,5080.0,787.0,37.9,-9.08,0.0
-2.49,2.584,5600.0,1277.0,6.547,-8.27,1.0
-1.643,2.867,4130.0,1326.0,38.7,-4.543,2.0
-1.711,2.39,3550.0,532.0,13.414,-7.805,3.0
-2.018,1.872,4584.0,908.0,34.1,-5.676,4.0
-2.086,1.531,3488.0,561.0,3.008,-8.12,0.0
-1.462,2.521,5148.0,1434.0,28.94,-7.742,1.0
-2.45,1.424,4130.0,546.5,37.44,-8.555,2.0
-1.838,1.4,5176.0,670.5,6.27,-9.76,3.0
-2.049,1.026,4570.0,1210.0,8.87,-2.955,4.0
-2.658,1.366,3082.0,1091.0,35.5,-0.1483,0.0
-1.892,1.513,3634.0,949.0,12.82,-5.773,1.0
-1.725,2.201,4776.0,1102.0,10.164,-1.947,2.0
-2.217,1.15,3594.0,1139.0,21.47,-7.32,3.0
-1.96,2.148,4308.0,1354.0,5.4,-8.664,4.0
-2.027,1.952,3060.0,1436.0,31.03,-9.695,0.0
-2.373,1.269,3076.0,505.2,8.65,-8.6,1.0
-2.145,1.666,4244.0,915.0,34.4,-8.25,2.0
-1.838,2.316,3600.0,483.8,5.305,-0.4329,3.0
-1.584,2.535,3606.0,1119.0,16.83,-2.654,4.0
-1.48,2.15,5108.0,1121.0,16.31,-0.6016,0.0
-1.525,2.334,5652.0,1427.0,31.31,-6.625,1.0
-1.716,2.475,5780.0,812.5,15.08,-4.89,2.0
-2.143,1.31,3258.0,978.0,8.38,-6.22,3.0
-1.5625,2.389,4708.0,383.8,12.56,-0.7876,4.0
-1.912,2.463,3030.0,1220.0,27.27,-2.824,0.0
-2.21,1.003,4776.0,443.2,4.59,-5.13,1.0
-1.796,1.596,4456.0,1252.0,1.849,-8.27,2.0
-2.04,2.469,3976.0,727.5,36.88,-2.055,3.0
-1.785,2.516,4930.0,1044.0,38.34,-3.553,4.0
-2.338,1.506,4890.0,1091.0,39.75,-3.861,0.0
-1.835,2.1,5972.0,1136.0,36.97,-4.875,1.0
-1.526,1.732,5616.0,968.5,16.77,-3.467,2.0
-1.903,2.348,4770.0,671.5,34.7,-2.373,3.0
-1.467,1.952,4776.0,1256.0,16.62,-0.5913,4.0
-1.849,1.649,4290.0,584.5,2.121,-0.3882,0.0
-1.746,2.559,4844.0,1172.0,14.52,-0.4888,1.0
-1.824,1.863,3792.0,398.2,11.16,-1.792,2.0
-2.023,1.109,5140.0,724.0,9.64,-9.75,3.0
-2.07,1.879,5452.0,631.5,37.97,-6.86,4.0
-2.291,1.035,4724.0,465.8,21.27,-9.49,0.0
-1.983,2.719,4464.0,1442.0,15.69,-5.336,1.0
-2.738,1.35,3046.0,767.5,37.53,-2.166,2.0
-1.557,2.285,3972.0,650.0,19.6,-9.74,3.0
-1.836,2.19,3138.0,1331.0,13.42,-8.586,4.0
-1.449,2.2,4196.0,1290.0,18.25,-0.3022,0.0
-1.685,2.408,4228.0,876.5,13.24,-9.445,1.0
-2.154,1.833,3070.0,339.8,7.992,-0.4138,2.0
-1.626,1.929,4690.0,595.0,12.36,-8.7,3.0
-2.043,1.099,5788.0,864.0,18.45,-0.268,4.0
-1.841,1.891,5830.0,1345.0,34.38,-5.27,0.0
-1.724,1.475,4950.0,1187.0,9.04,-9.266,1.0
-1.669,2.055,5120.0,786.0,10.59,-8.52,2.0
-1.443,2.777,5092.0,415.0,25.28,-5.188,3.0
-1.963,2.904,5844.0,1345.0,21.44,-7.348,4.0
-1.959,1.258,4950.0,577.0,6.945,-8.46,0.0
-2.104,1.646,4500.0,1210.0,35.84,-7.22,1.0
-1.784,2.424,5350.0,632.5,36.94,-6.215,2.0
-1.728,2.22,5748.0,851.5,35.5,-8.57,3.0
-1.595,2.686,4652.0,1490.0,35.38,-1.983,4.0
-1.777,2.291,3726.0,1104.0,31.42,-8.34,0.0
-1.8545,2.723,3724.0,1076.0,14.44,-9.98,1.0
-1.988,2.135,5684.0,1049.0,2.938,-4.85,2.0
-2.344,1.709,3268.0,773.5,31.64,-6.684,3.0
-2.371,1.5625,3222.0,990.0,32.03,-6.957,4.0
-2.006,1.99,5364.0,1476.0,1.658,-9.43,0.0
-2.035,1.341,3342.0,1242.0,5.504,-6.4,1.0
-1.68,1.733,3482.0,1436.0,15.11,-5.57,2.0
-2.299,1.405,5636.0,593.0,37.97,-9.66,3.0
-1.82,2.44,5000.0,832.5,9.66,-1.724,4.0
-1.6455,1.992,4042.0,1099.0,12.06,-7.41,0.0
-2.012,1.793,5696.0,372.8,28.73,-1.359,1.0
-1.592,2.064,5784.0,408.2,23.83,-5.523,2.0
-2.523,2.855,3562.0,1469.0,7.17,-4.453,3.0
-1.769,2.693,5290.0,1322.0,20.81,-8.81,4.0
-2.375,1.134,3770.0,1371.0,30.3,-6.992,0.0
-1.681,1.864,4852.0,656.0,22.5,-4.59,1.0
-2.188,1.497,4590.0,617.5,28.23,-3.803,2.0
-2.666,1.042,3844.0,788.5,35.2,-5.062,3.0
-1.862,2.688,4436.0,1266.0,16.12,-7.164,4.0
-2.158,1.23,3094.0,1276.0,11.484,-1.882,0.0
-1.464,2.367,4536.0,1283.0,21.53,-7.25,1.0
-2.195,1.769,3262.0,342.2,20.2,-0.5425,2.0
-2.555,1.011,4790.0,1014.5,34.53,-4.832,3.0
-1.47,2.674,4016.0,1409.0,21.88,-2.18,4.0
-1.728,2.062,3542.0,1372.0,25.89,-5.156,0.0
-2.379,1.074,5890.0,1183.0,29.42,-1.249,1.0
-1.694,1.83,3562.0,1454.0,11.17,-2.209,2.0
-1.8,2.088,4210.0,542.0,3.521,-4.74,3.0
-1.425,2.412,4790.0,692.0,20.67,-2.178,4.0
-1.773,2.22,5560.0,834.5,10.0,-5.83,0.0
-2.277,1.472,3542.0,549.0,22.66,-1.462,1.0
-1.984,1.466,3416.0,1264.0,0.1775,-0.552,2.0
-1.954,2.008,4520.0,422.5,29.88,-5.88,3.0
-1.826,1.699,3318.0,1484.0,8.695,-3.305,4.0
-2.945,2.896,5056.0,1489.0,5.96,-3.879,0.0
-1.496,1.934,5776.0,1370.0,23.03,-8.3,1.0
-1.934,1.415,3934.0,899.5,5.434,-5.977,2.0
-2.076,1.115,4078.0,1036.0,9.06,-0.3853,3.0
-2.26,1.111,5880.0,1413.0,27.31,-0.8735,4.0
-2.105,1.148,4748.0,385.5,9.414,-3.934,0.0
-1.521,1.755,5596.0,1103.0,15.86,-5.316,1.0
-2.031,2.6,3478.0,565.0,35.0,-6.457,2.0
-2.355,1.078,3528.0,482.0,9.234,-8.24,3.0
-1.582,1.94,4944.0,808.0,11.76,-0.797,4.0
-1.873,1.229,5204.0,1040.0,16.25,-1.413,0.0
-2.352,1.5205,4210.0,656.5,37.9,-9.57,1.0
-1.605,1.838,5116.0,832.5,20.75,-0.5312,2.0
-2.078,1.47,3302.0,823.5,16.75,-6.996,3.0
-2.598,2.854,3894.0,1490.0,6.824,-3.68,4.0
-1.657,1.796,5696.0,845.0,9.78,-7.41,0.0
-2.621,1.112,3852.0,858.0,37.75,-7.17,1.0
-1.754,2.018,4900.0,886.0,5.55,-2.258,2.0
-1.93,1.523,3426.0,1014.5,16.0,-7.086,3.0
-2.021,1.348,4264.0,1459.0,24.14,-1.2295,4.0
-1.6455,2.406,5584.0,477.2,13.4,-5.176,0.0
-2.1,1.602,3040.0,915.5,8.37,-3.188,1.0
-2.3,1.15,3522.0,508.2,11.23,-8.22,2.0
-2.04,2.635,4410.0,423.2,37.1,-0.2483,3.0
-2.201,1.26,3486.0,655.5,3.508,-4.047,4.0
-1.919,2.96,3184.0,1481.0,20.64,-9.945,0.0
-2.027,2.22,3938.0,1114.0,39.38,-4.902,1.0
-2.244,1.432,5980.0,1165.0,39.8,-7.4,2.0
-2.498,1.241,4504.0,703.0,31.12,-0.037,3.0
-1.4795,1.893,5100.0,1026.0,17.44,-3.209,4.0
-1.989,2.998,5340.0,392.8,12.234,-2.447,0.0
-1.88,2.133,5612.0,406.0,0.2966,-9.73,1.0
-2.316,2.857,5436.0,595.5,8.18,-9.96,2.0
-2.078,1.547,3074.0,962.0,15.81,-7.023,3.0
-1.864,1.903,3138.0,1154.0,11.51,-2.203,4.0
-2.637,1.193,3018.0,548.5,23.81,-1.248,0.0
-1.936,1.348,3744.0,1224.0,18.6,-3.525,1.0
-2.44,1.021,5480.0,1317.0,35.0,-7.34,2.0
-1.976,1.251,4084.0,1021.5,5.98,-7.133,3.0
-1.561,2.484,5780.0,868.5,30.66,-3.893,4.0
-2.033,1.035,5290.0,996.0,3.777,-7.8,0.0
-2.584,1.168,4024.0,1080.0,38.88,-4.508,1.0
-1.479,2.635,5880.0,837.0,28.92,-3.879,2.0
-2.273,1.038,4150.0,507.8,14.76,-4.26,3.0
-2.271,1.182,3324.0,746.0,5.434,-7.23,4.0
-2.045,2.969,3370.0,759.0,8.78,-5.297,0.0
-1.862,2.514,3396.0,577.0,24.23,-0.9956,1.0
-1.87,2.654,4344.0,1142.0,38.22,-0.2242,2.0
-2.209,2.96,3128.0,937.5,8.2,-6.273,3.0
-2.639,2.977,5868.0,847.5,9.51,-9.12,4.0
-2.414,1.32,4560.0,880.0,33.06,-1.991,0.0
-1.867,2.322,4636.0,707.5,32.8,-2.312,1.0
-2.06,2.195,3632.0,1290.0,39.1,-4.18,2.0
-2.283,2.445,5544.0,980.5,1.836,-7.05,3.0
-2.115,2.621,3388.0,594.0,39.8,-8.45,4.0
-1.738,2.596,3848.0,789.0,12.33,-7.258,0.0
-1.6875,2.602,4804.0,664.5,36.9,-9.945,1.0
-1.488,2.695,5480.0,739.5,29.08,-3.64,2.0
-1.606,2.46,4136.0,483.5,11.81,-1.266,3.0
-1.491,2.22,5564.0,384.0,21.75,-4.15,4.0
-2.104,1.119,3480.0,1369.0,15.68,-2.46,0.0
-1.603,2.078,5628.0,600.0,24.48,-3.363,1.0
-2.13,2.482,5892.0,654.0,5.875,-9.83,2.0
-1.639,2.41,4890.0,747.0,32.2,-9.1,3.0
-1.788,1.46,4908.0,784.5,8.05,-2.08,4.0
-1.748,1.657,5040.0,478.5,6.63,-2.623,0.0
-1.631,1.637,5060.0,984.5,13.34,-9.72,1.0
-2.498,1.052,4456.0,724.5,29.19,-4.715,2.0
-1.73,1.767,3958.0,849.0,20.08,-9.29,3.0
-1.927,2.057,3364.0,1229.0,4.387,-0.5317,4.0
-1.492,2.584,5310.0,435.5,18.17,-4.86,0.0
-2.648,1.853,3186.0,396.8,39.4,-1.174,1.0
-1.718,2.76,5810.0,1347.0,22.62,-6.535,2.0
-2.188,2.463,3182.0,1389.0,5.65,-3.559,3.0
-2.27,2.375,3592.0,656.5,39.12,-1.413,4.0
-2.09,2.02,4930.0,571.0,37.28,-4.594,0.0
-1.653,2.365,5530.0,1368.0,35.56,-4.43,1.0
-2.041,1.178,4184.0,862.5,11.125,-7.79,2.0
-2.305,2.762,3054.0,853.5,2.25,-7.316,3.0
-1.99,1.942,3192.0,524.0,10.66,-5.137,4.0
-2.465,1.992,3484.0,441.0,39.2,-3.107,0.0
-1.441,2.318,5708.0,972.0,20.3,-0.2705,1.0
-2.105,2.906,3042.0,720.0,6.867,-2.584,2.0
-2.594,2.822,5920.0,930.0,7.688,-9.08,3.0
