like1,parLUE_max,parVPD_max,parVPD_min,parT_max,parT_min,chain
-4.945,1.306,5976.0,914.0,12.945,-7.926,0.0
-6.137,1.264,3756.0,1451.0,30.9,-9.71,1.0
-4.836,2.076,5136.0,1275.0,19.98,-4.086,2.0
-5.742,2.793,3388.0,806.5,35.25,-4.37,3.0
-5.938,1.137,5740.0,906.0,15.28,-0.776,4.0
-5.74,2.572,3640.0,808.5,27.38,-1.533,0.0
-5.348,1.8955,5972.0,1002.5,21.58,-2.47,1.0
-5.895,2.105,4476.0,493.0,28.97,-3.416,2.0
-6.598,1.908,3784.0,833.5,35.06,-0.664,3.0
-6.355,1.536,5624.0,593.0,33.5,-4.34,4.0
-5.918,1.938,4400.0,797.0,37.16,-7.727,0.0
-4.53,2.455,5856.0,485.8,0.316,-4.383,1.0
-4.668,1.9,5616.0,345.0,8.695,-0.1647,2.0
-4.426,2.988,3596.0,756.0,12.75,-7.03,3.0
-5.21,1.499,5148.0,1183.0,17.1,-4.777,4.0
-5.2,2.223,5650.0,1317.0,35.66,-8.52,0.0
-4.195,1.425,5012.0,1298.0,0.859,-7.543,1.0
-6.348,2.05,3850.0,327.0,32.94,-3.26,2.0
-5.996,2.148,4824.0,733.5,34.75,-3.459,3.0
-6.516,1.018,5360.0,375.2,26.34,-7.7,4.0
-5.19,2.162,3694.0,1414.0,27.89,-6.92,0.0
-6.105,1.972,5692.0,445.8,39.7,-5.88,1.0
-5.664,2.512,3774.0,539.0,38.75,-8.83,2.0
-5.64,2.049,4190.0,1246.0,38.56,-8.89,3.0
-5.79,1.559,5068.0,1143.0,24.3,-4.01,4.0
-5.277,2.623,4844.0,1442.0,38.2,-5.734,0.0
-4.93,2.986,5020.0,503.5,6.176,-8.81,1.0
-4.875,1.783,5690.0,1472.0,24.14,-9.91,2.0
-5.43,1.715,5090.0,1158.0,18.2,-1.098,3.0
-5.848,1.746,5332.0,1171.0,39.88,-9.68,4.0
-6.258,1.788,5756.0,1170.0,34.16,-1.689,0.0
-4.402,1.313,5376.0,1030.0,1.872,-8.125,1.0
-5.11,1.196,4420.0,817.5,7.215,-5.22,2.0
-6.816,1.401,3912.0,1187.0,38.5,-1.967,3.0
-5.273,2.002,4644.0,613.0,21.6,-4.824,4.0
-5.094,1.53,5692.0,885.0,16.95,-6.13,0.0
-7.207,1.1,3230.0,1139.0,39.6,-0.911,1.0
-6.023,1.005,5932.0,652.0,19.98,-9.56,2.0
-4.08,1.77,5916.0,1355.0,2.295,-4.617,3.0
-5.297,1.748,3870.0,817.0,21.73,-9.27,4.0
-5.637,1.913,3558.0,1379.0,34.75,-9.39,0.0
-4.7,2.729,5636.0,809.0,19.53,-1.763,1.0
-4.81,2.355,5864.0,363.2,25.34,-8.03,2.0
-6.113,1.047,5336.0,761.5,19.73,-6.277,3.0
-5.57,2.42,4244.0,796.0,34.6,-5.96,4.0
-4.246,2.387,4950.0,338.8,2.6,-5.36,0.0
-5.22,1.1,4260.0,1347.0,6.11,-1.518,1.0
-6.484,1.321,4110.0,486.2,27.0,-4.676,2.0
-6.39,1.394,4130.0,502.2,32.28,-8.17,3.0
-4.297,2.094,3692.0,664.5,9.74,-9.3,4.0
-5.31,2.354,3072.0,853.0,26.05,-8.71,0.0
-5.82,2.58,3432.0,702.0,32.6,-4.17,1.0
-5.438,1.563,3830.0,1091.0,18.44,-5.35,2.0
-5.543,2.24,5464.0,633.5,24.3,-1.307,3.0
-4.55,1.224,5156.0,1479.0,6.25,-8.72,4.0
-5.242,1.596,5264.0,1077.0,22.45,-8.63,0.0
-4.78,2.334,4030.0,459.8,15.15,-3.402,1.0
-5.223,1.149,5636.0,740.0,10.93,-6.777,2.0
-5.12,1.037,5876.0,1331.0,5.742,-2.758,3.0
-6.766,1.394,3522.0,610.5,38.25,-6.03,4.0
-4.63,2.605,3010.0,624.0,14.52,-9.01,0.0
-4.234,2.643,5260.0,1121.0,19.6,-6.246,1.0
-5.4,1.155,5910.0,1096.0,15.51,-7.734,2.0
-5.266,1.947,5548.0,722.0,27.38,-8.06,3.0
