like1,parLUE_max,parVPD_max,parVPD_min,parT_max,parT_min,chain
-8.27,1.192,3142.0,1233.0,8.12,-3.695,0.0
-8.18,1.155,4068.0,1482.0,1.085,-6.203,1.0
-6.48,2.188,5516.0,508.5,17.47,-6.555,2.0
-5.45,2.127,4668.0,1390.0,10.51,-4.56,3.0
-8.09,2.418,5890.0,640.0,31.84,-5.812,4.0
-9.74,1.041,4500.0,1293.0,22.8,-9.41,0.0
-10.586,1.156,3772.0,1082.0,29.31,-0.741,1.0
-10.64,1.281,5204.0,755.5,40.0,-5.574,2.0
-5.457,2.303,3710.0,916.5,1.073,-1.353,3.0
-6.535,1.695,3810.0,1291.0,8.87,-9.164,4.0
-4.92,2.977,5660.0,851.5,19.53,-7.93,0.0
-9.96,1.54,5532.0,642.5,34.56,-5.293,1.0
-7.02,1.526,5744.0,985.0,4.09,-0.482,2.0
-6.992,2.64,4428.0,1270.0,25.72,-3.035,3.0
-7.2,2.77,4732.0,1036.0,34.62,-9.61,4.0
-7.707,1.601,4220.0,1445.0,17.25,-4.86,0.0
-9.6,1.014,3092.0,889.5,15.62,-3.32,1.0
-8.89,1.114,3284.0,1464.0,13.31,-2.08,2.0
-8.195,1.342,3822.0,454.8,5.723,-8.96,3.0
-6.727,2.756,3312.0,1472.0,27.14,-5.508,4.0
-4.71,2.88,5616.0,410.2,9.055,-7.918,0.0
-5.02,2.473,3536.0,1378.0,5.867,-7.926,1.0
-6.32,2.15,3532.0,380.0,2.209,-5.062,2.0
-9.586,1.969,5800.0,429.0,33.38,-1.939,3.0
-5.24,2.645,4732.0,748.0,1.253,-6.363,4.0
-8.61,2.314,3992.0,1330.0,39.12,-7.523,0.0
-8.53,2.03,4800.0,1093.0,29.34,-4.38,1.0
-9.0,2.91,5944.0,590.5,38.97,-0.02734,2.0
-10.0,1.511,5800.0,446.2,30.77,-3.025,3.0
-10.14,1.58,3228.0,1355.0,34.9,-1.782,4.0
-6.273,1.79,4476.0,1241.0,10.266,-9.41,0.0
-8.43,2.555,5810.0,495.2,39.16,-8.08,1.0
-7.992,1.221,4028.0,1241.0,3.727,-9.21,2.0
-8.0,2.125,4096.0,454.0,24.5,-6.965,3.0
-8.945,1.303,3840.0,1221.0,20.95,-7.773,4.0
-9.97,1.872,5864.0,1246.0,37.5,-0.4897,0.0
-6.438,2.016,5890.0,743.5,16.25,-7.68,1.0
-8.266,2.568,3786.0,933.0,38.9,-8.18,2.0
-8.2,1.973,5600.0,867.5,23.84,-2.234,3.0
-6.734,1.62,3216.0,1438.0,3.393,-3.275,4.0
-9.44,1.624,3954.0,1106.0,32.78,-7.016,0.0
-10.11,1.21,4270.0,711.0,27.25,-5.24,1.0
-5.066,2.791,4228.0,710.5,3.17,-2.062,2.0
-5.75,2.416,3888.0,1010.0,16.92,-5.13,3.0
-7.418,2.945,5210.0,1240.0,36.47,-6.383,4.0
-8.78,2.09,3718.0,1479.0,32.34,-3.906,0.0
-8.63,1.366,3578.0,1264.0,16.42,-0.4595,1.0
-5.805,2.209,5544.0,467.8,11.62,-3.738,2.0
-10.5,1.03,4332.0,1417.0,26.88,-1.95,3.0
-8.81,1.16,5132.0,747.0,15.14,-9.375,4.0
-7.77,1.868,3904.0,868.0,20.86,-5.53,0.0
-8.75,1.728,3204.0,1353.0,25.3,-3.809,1.0
-7.746,2.56,4800.0,729.0,28.33,-3.31,2.0
-9.266,1.547,4276.0,1410.0,31.42,-9.1,3.0
-5.297,2.297,3666.0,925.0,8.09,-3.473,4.0
-9.71,1.168,3542.0,1373.0,21.53,-1.905,0.0
-7.98,2.31,5644.0,920.5,30.1,-5.46,1.0
-8.62,2.416,4804.0,529.0,32.12,-3.29,2.0
-8.01,1.384,5668.0,699.0,11.81,-1.874,3.0
-10.1,1.213,4088.0,661.0,25.88,-4.246,4.0
-5.16,2.799,5840.0,463.5,2.65,-7.83,0.0
-5.43,2.592,4350.0,483.5,14.875,-7.145,1.0
-4.96,2.582,5860.0,964.0,3.168,-3.55,2.0
-7.914,1.812,5130.0,787.0,22.64,-8.195,3.0
-8.96,1.98,3108.0,621.0,28.11,-5.01,4.0
-6.184,2.459,4710.0,701.0,18.52,-3.904,0.0
-9.31,2.088,5716.0,662.5,36.53,-3.957,1.0
-7.8,2.1,4576.0,738.5,21.08,-0.779,2.0
-8.0,2.23,4588.0,1069.0,28.3,-4.586,3.0
-8.97,1.012,4316.0,1365.0,11.89,-5.68,4.0
-7.64,2.451,5484.0,1251.0,27.11,-2.334,0.0
-6.28,1.877,3352.0,1070.0,10.164,-4.848,1.0
-10.664,1.338,5390.0,1036.0,39.53,-2.828,2.0
-8.055,2.264,5536.0,400.2,23.47,-0.8765,3.0
-7.69,1.622,3540.0,1201.0,16.5,-3.932,4.0
-5.25,2.72,3558.0,1012.0,18.33,-8.445,0.0
-10.25,1.531,4588.0,935.0,32.62,-0.1885,1.0
-7.914,1.259,3258.0,1278.0,0.7354,-2.078,2.0
-10.086,1.383,4012.0,1285.0,30.83,-2.5,3.0
-10.26,1.409,5510.0,1300.0,31.2,-0.2001,4.0
-7.363,2.387,3302.0,1430.0,22.55,-0.479,0.0
-7.52,1.984,3836.0,1392.0,24.39,-9.336,1.0
-8.52,2.607,3356.0,600.0,31.73,-2.977,2.0
-5.316,2.299,5524.0,724.5,3.934,-8.03,3.0
-10.24,1.401,5940.0,964.5,35.03,-3.738,4.0
-7.7,1.601,5196.0,1258.0,15.74,-1.541,0.0
-4.723,2.95,4100.0,1356.0,10.516,-0.76,1.0
-6.438,2.033,4964.0,920.5,17.3,-8.93,2.0
-8.99,1.799,3304.0,1384.0,29.88,-5.05,3.0
-5.64,2.418,5516.0,919.5,16.73,-4.89,4.0
-5.695,2.959,3912.0,441.0,20.33,-8.03,0.0
-7.867,2.787,4564.0,728.0,39.88,-9.97,1.0
-4.73,2.848,3892.0,887.5,8.984,-6.23,2.0
-9.086,1.854,3252.0,1168.0,34.44,-7.953,3.0
-5.36,2.25,5444.0,843.0,12.195,-8.695,4.0
-9.14,1.06,4260.0,353.8,7.75,-7.35,0.0
-9.664,1.688,4054.0,1300.0,34.03,-3.75,1.0
-8.88,1.999,5268.0,1400.0,29.3,-1.452,2.0
-4.867,2.422,5296.0,1479.0,11.33,-7.95,3.0
-8.89,1.604,3744.0,1344.0,23.84,-2.82,4.0
-9.58,1.303,5430.0,1192.0,24.02,-2.598,0.0
-7.355,1.493,3790.0,1447.0,10.05,-1.112,1.0
-5.84,1.951,3734.0,1461.0,9.59,-7.25,2.0
-9.414,1.112,3086.0,979.5,19.31,-9.02,3.0
-10.47,1.31,4160.0,695.0,37.56,-7.03,4.0
-6.117,1.967,5030.0,538.0,5.86,-8.53,0.0
-9.336,2.012,3858.0,1170.0,35.56,-3.268,1.0
-5.027,2.367,4416.0,1135.0,6.562,-1.014,2.0
-8.016,1.499,4904.0,396.8,11.98,-1.491,3.0
-8.3,2.64,3298.0,724.0,35.44,-6.395,4.0
-9.11,1.927,4948.0,699.0,28.0,-1.338,0.0
-9.24,1.59,4144.0,1394.0,27.81,-4.12,1.0
-7.902,2.207,3590.0,644.5,25.6,-6.785,2.0
-9.18,1.335,5520.0,961.0,19.5,-0.2112,3.0
-6.062,2.346,3872.0,1451.0,18.88,-5.637,4.0
-7.793,1.771,3796.0,1021.5,21.75,-9.38,0.0
-5.19,2.697,3596.0,1427.0,1.8,-4.137,1.0
-5.63,2.447,5050.0,1457.0,15.8,-1.519,2.0
-9.82,1.477,5548.0,1337.0,28.8,-1.242,3.0
-6.18,2.072,3072.0,1058.0,11.875,-0.9893,4.0
-8.234,1.425,4116.0,510.0,14.1,-8.49,0.0
-7.816,1.412,3646.0,642.0,1.134,-8.766,1.0
-7.152,1.775,4532.0,1210.0,15.47,-2.217,2.0
-8.89,1.354,5150.0,1086.0,21.12,-5.99,3.0
-9.05,1.247,5292.0,397.5,17.17,-6.51,4.0
-9.664,1.216,4630.0,1350.0,26.95,-8.82,0.0
-6.992,1.617,5196.0,596.5,2.334,-3.422,1.0
-10.18,1.122,5644.0,1037.0,26.97,-4.15,2.0
-6.617,1.679,5844.0,811.0,2.064,-7.16,3.0
-9.89,1.131,3440.0,1475.0,24.31,-4.83,4.0
-5.84,1.981,3204.0,1310.0,9.18,-9.695,0.0
-8.67,1.192,4030.0,496.2,9.06,-6.65,1.0
-7.875,1.786,5372.0,378.8,18.75,-5.47,2.0
-8.75,1.036,4850.0,830.5,3.46,-7.625,3.0
-10.49,1.288,3310.0,633.5,31.97,-4.332,4.0
-9.75,1.062,5280.0,953.5,21.28,-5.766,0.0
-9.4,2.232,3484.0,1321.0,39.06,-2.277,1.0
-5.613,1.996,5068.0,1380.0,7.984,-7.652,2.0
-4.99,2.602,4292.0,1165.0,3.266,-2.875,3.0
-6.586,1.843,4650.0,490.5,0.457,-3.955,4.0
-8.94,2.021,3480.0,1350.0,29.34,-1.384,0.0
-6.773,1.832,5710.0,1182.0,15.305,-4.492,1.0
-10.34,1.706,3348.0,462.8,38.25,-4.184,2.0
-10.81,1.032,4078.0,1093.0,33.66,-4.15,3.0
-6.19,1.819,3374.0,1423.0,1.652,-3.744,4.0
-9.71,1.418,4054.0,897.5,25.44,-1.711,0.0
-6.68,2.043,4970.0,546.5,17.27,-9.93,1.0
-8.67,1.013,4780.0,1471.0,3.285,-6.86,2.0
-5.22,2.445,5496.0,509.0,4.625,-7.52,3.0
-6.812,2.838,4164.0,429.2,25.06,-6.086,4.0
-5.46,2.951,4530.0,1155.0,0.3923,-2.969,0.0
-4.914,2.643,5064.0,572.5,10.984,-3.34,1.0
-5.523,2.416,4620.0,440.2,10.734,-2.139,2.0
-6.438,2.916,3510.0,1188.0,28.48,-7.656,3.0
-8.625,2.291,3564.0,420.5,26.88,-2.73,4.0
-5.953,1.98,3238.0,1170.0,1.021,-6.027,0.0
-5.56,2.043,5410.0,1460.0,2.812,-6.797,1.0
-8.125,1.365,5650.0,840.5,12.39,-0.4634,2.0
-10.18,1.3125,3010.0,1306.0,29.73,-2.54,3.0
-4.914,2.96,5092.0,798.5,5.57,-4.45,4.0
-7.914,2.918,5204.0,352.5,37.97,-8.33,0.0
-9.66,1.635,4136.0,746.0,36.94,-9.88,1.0
-8.99,1.041,5490.0,724.5,11.0,-4.05,2.0
-5.387,2.48,4066.0,904.0,16.38,-9.016,3.0
-8.33,1.849,5316.0,683.0,23.45,-4.133,4.0
-6.434,1.734,5140.0,1211.0,9.72,-5.27,0.0
-7.027,2.465,5824.0,1219.0,27.48,-7.367,1.0
-7.316,1.4,5164.0,1321.0,4.336,-7.316,2.0
-9.65,1.655,5530.0,1077.0,37.4,-7.203,3.0
-9.7,1.33,3856.0,1354.0,24.98,-2.037,4.0
-6.61,2.053,5960.0,1174.0,16.38,-1.576,0.0
-5.594,2.371,5868.0,590.5,15.37,-7.55,1.0
-7.613,2.377,5784.0,1490.0,28.84,-5.113,2.0
-6.66,2.678,5028.0,1287.0,26.52,-5.71,3.0
-7.965,2.914,5220.0,1052.0,39.8,-5.625,4.0
-7.84,1.741,4364.0,394.2,16.36,-4.69,0.0
-7.832,1.294,3792.0,1229.0,6.246,-1.947,1.0
-7.21,1.479,4110.0,1041.0,5.664,-6.383,2.0
-8.71,1.441,3740.0,431.5,15.93,-3.928,3.0
-9.734,1.594,3836.0,633.0,32.5,-6.984,4.0
-6.02,2.531,3636.0,519.0,14.53,-1.406,0.0
-8.4,2.23,5930.0,1241.0,35.28,-7.27,1.0
-6.504,2.19,3956.0,362.2,14.984,-9.35,2.0
-7.9,2.143,3706.0,1171.0,28.27,-7.445,3.0
-9.62,1.432,5012.0,918.0,28.45,-5.11,4.0
-5.645,2.209,5684.0,468.2,1.6,-2.648,0.0
-8.82,1.792,5304.0,1051.0,32.22,-9.46,1.0
-8.57,1.314,5284.0,786.0,16.03,-4.266,2.0
-8.836,1.203,4736.0,359.5,12.375,-6.332,3.0
-10.05,1.419,3320.0,348.0,29.9,-9.34,4.0
-6.812,2.379,3636.0,354.2,17.44,-4.38,0.0
-5.223,2.227,4144.0,1363.0,7.645,-1.969,1.0
-6.004,2.043,5652.0,374.0,4.832,-6.246,2.0
-5.41,2.244,5092.0,798.0,2.582,-5.734,3.0
-8.56,2.959,4204.0,1380.0,37.12,-0.02592,4.0
-9.09,1.743,4136.0,1231.0,32.78,-7.906,0.0
-8.34,2.115,5996.0,808.0,33.78,-9.914,1.0
-8.445,1.236,5550.0,421.2,8.76,-2.06,2.0
-5.71,2.18,3680.0,884.0,0.8247,-6.574,3.0
-4.723,2.824,3206.0,1344.0,13.18,-7.688,4.0
-5.496,2.16,5500.0,676.5,7.266,-5.453,0.0
-10.59,1.04,4824.0,1121.0,27.2,-0.963,1.0
-7.848,1.733,3164.0,927.0,20.27,-9.41,2.0
-7.82,1.258,4130.0,1467.0,0.87,-6.508,3.0
-6.414,1.94,5624.0,1312.0,16.0,-7.28,4.0
-8.414,1.338,4710.0,594.0,14.03,-5.14,0.0
-5.074,2.793,3780.0,728.5,4.523,-4.97,1.0
-5.195,2.832,4660.0,743.0,15.23,-1.059,2.0
-8.97,1.803,3660.0,705.0,29.22,-7.85,3.0
-5.26,2.404,3900.0,762.5,4.973,-1.046,4.0
-6.94,2.094,3944.0,960.0,20.25,-6.996,0.0
-5.914,2.172,3678.0,1213.0,15.47,-6.84,1.0
-5.53,2.309,4108.0,547.0,7.28,-5.477,2.0
-6.242,1.964,5036.0,1029.0,14.67,-7.992,3.0
-8.11,2.572,3526.0,354.0,29.17,-6.46,4.0
-7.855,1.363,3760.0,830.0,8.68,-5.234,0.0
-7.336,2.723,5310.0,1074.0,31.1,-5.285,1.0
-7.727,1.388,4584.0,1041.0,12.15,-8.19,2.0
-9.984,1.041,5740.0,771.5,22.58,-5.434,3.0
-7.34,1.393,4670.0,1457.0,3.06,-8.88,4.0
-4.887,2.938,4836.0,1113.0,5.74,-1.965,0.0
-8.25,1.523,4080.0,641.5,18.33,-9.73,1.0
-8.29,2.766,3230.0,433.8,35.56,-8.4,2.0
-5.055,2.498,3224.0,1028.0,10.67,-4.848,3.0
-8.46,2.223,5828.0,599.5,33.78,-7.83,4.0
-10.51,1.207,5624.0,391.2,34.28,-7.215,0.0
-4.94,2.67,5020.0,887.5,13.44,-2.49,1.0
-6.49,2.23,4424.0,710.5,18.61,-7.133,2.0
-7.418,2.965,4864.0,372.5,29.72,-4.438,3.0
-8.53,2.25,5360.0,1489.0,33.47,-4.105,4.0
-10.19,1.591,3584.0,1467.0,37.5,-2.52,0.0
-8.33,1.342,4940.0,469.0,10.71,-0.672,1.0
-5.324,2.848,3652.0,1384.0,2.494,-7.047,2.0
-9.914,1.595,4384.0,532.0,33.66,-5.676,3.0
-6.492,2.484,4896.0,1110.0,23.12,-6.004,4.0
-9.17,1.223,4002.0,466.0,16.11,-5.26,0.0
-6.88,1.994,5420.0,841.5,19.19,-8.27,1.0
-8.836,2.137,3390.0,1482.0,37.78,-7.31,2.0
-8.57,1.988,4828.0,988.5,28.17,-3.791,3.0
-10.414,1.163,5100.0,952.0,31.78,-4.824,4.0
-9.26,1.66,5300.0,347.5,26.94,-5.586,0.0
-8.78,1.827,3150.0,766.5,23.05,-1.757,1.0
-6.105,2.098,4730.0,650.5,13.23,-5.945,2.0
-7.406,2.537,5092.0,904.5,24.17,-0.577,3.0
-5.082,2.379,4856.0,1449.0,4.26,-9.125,4.0
-9.66,1.467,4268.0,517.5,29.44,-8.76,0.0
-5.73,2.451,3462.0,523.0,12.664,-6.156,1.0
-9.75,2.242,5080.0,654.5,39.2,-0.7456,2.0
-10.586,1.333,5284.0,381.8,36.8,-4.906,3.0
-9.16,1.575,4360.0,485.2,24.72,-6.414,4.0
-8.805,1.1045,3674.0,942.0,11.875,-6.53,0.0
-6.01,1.916,5972.0,1064.0,9.7,-2.193,1.0
-6.242,2.398,4844.0,589.5,18.72,-6.19,2.0
-8.51,1.336,4868.0,1066.0,16.84,-4.2,3.0
-10.164,1.71,3510.0,963.0,39.16,-3.018,4.0
-5.555,2.326,5588.0,1034.0,13.59,-1.53,0.0
-8.9,1.103,5852.0,406.8,11.516,-9.555,1.0
-10.24,1.231,4584.0,634.0,28.23,-3.936,2.0
-5.457,2.316,5948.0,852.0,14.17,-5.58,3.0
-7.26,1.929,5244.0,537.0,19.39,-9.516,4.0
-5.754,2.541,5170.0,485.8,15.91,-3.193,0.0
