like1,parLUE_max,parVPD_max,parVPD_min,parT_max,parT_min,chain
-3.164,1.142,3936.0,882.0,28.08,-7.535,0.0
-2.367,2.27,3366.0,981.5,18.36,-6.76,1.0
-3.154,1.534,3348.0,849.0,31.19,-5.48,2.0
-2.521,2.584,5436.0,965.0,6.496,-1.681,3.0
-3.412,1.207,3682.0,767.5,39.8,-6.926,4.0
-2.2,2.736,5724.0,710.5,29.73,-4.43,0.0
-2.238,1.435,4988.0,1314.0,3.83,-2.99,1.0
-3.084,1.435,3142.0,1012.0,28.52,-9.39,2.0
-2.4,2.293,4060.0,384.2,23.94,-9.586,3.0
-2.5,2.41,3282.0,784.0,18.34,-1.45,4.0
-2.523,2.531,3594.0,1135.0,31.19,-4.277,0.0
-2.99,1.568,3840.0,466.8,25.0,-3.826,1.0
-2.127,2.088,5068.0,623.5,16.73,-6.098,2.0
-3.273,2.033,3732.0,362.8,38.9,-0.3916,3.0
-2.178,2.855,4276.0,1434.0,25.05,-1.61,4.0
-2.682,2.605,3140.0,1270.0,7.242,-4.863,0.0
-2.168,2.65,5892.0,1452.0,23.03,-7.74,1.0
-2.889,2.05,4284.0,338.8,37.38,-8.43,2.0
-2.283,2.498,5652.0,1178.0,35.78,-6.93,3.0
-2.586,1.582,4504.0,1029.0,24.28,-7.203,4.0
-2.387,2.871,5532.0,821.5,35.0,-1.744,0.0
-2.5,1.908,3182.0,1230.0,17.05,-3.576,1.0
-2.297,1.961,3912.0,1491.0,24.36,-8.07,2.0
-2.633,1.37,4996.0,1245.0,24.14,-7.41,3.0
-3.127,1.241,4308.0,736.0,31.45,-8.85,4.0
-3.191,1.369,4048.0,1488.0,38.62,-2.96,0.0
-2.521,2.508,4190.0,583.5,27.8,-2.201,1.0
-2.793,1.957,4524.0,921.5,39.72,-8.38,2.0
-2.148,2.727,4324.0,896.5,20.17,-4.555,3.0
-2.451,1.762,5964.0,659.0,21.0,-0.4912,4.0
-2.295,2.287,3828.0,846.0,18.72,-3.695,0.0
-2.225,1.472,5216.0,1065.0,6.105,-8.305,1.0
-2.324,2.693,3438.0,737.5,17.66,-6.41,2.0
-3.23,1.483,3810.0,481.2,31.16,-3.145,3.0
-2.268,1.567,5730.0,1412.0,18.4,-3.857,4.0
-2.37,2.56,3190.0,1395.0,19.33,-3.416,0.0
-2.584,1.822,3126.0,1030.0,17.02,-8.03,1.0
-2.81,1.108,4556.0,365.2,8.625,-5.465,2.0
-2.902,1.023,4910.0,990.5,21.19,-9.51,3.0
-2.729,1.954,3392.0,1248.0,30.83,-6.875,4.0
-2.404,2.97,4008.0,671.5,12.68,-9.516,0.0
-2.293,2.412,4684.0,400.8,25.75,-7.594,1.0
-2.635,2.48,4100.0,1495.0,3.818,-4.33,2.0
-3.25,1.251,3346.0,1123.0,34.97,-8.836,3.0
-3.158,1.2295,4876.0,882.0,36.75,-8.516,4.0
-2.482,2.555,3268.0,1137.0,10.8,-1.925,0.0
-2.812,1.752,3876.0,704.0,27.05,-6.168,1.0
-2.703,1.955,3028.0,810.5,19.52,-8.77,2.0
-2.24,2.79,4800.0,847.0,16.27,-7.676,3.0
-2.75,1.977,4308.0,602.5,31.9,-6.746,4.0
-2.17,2.246,4184.0,1093.0,18.22,-4.098,0.0
-2.451,2.336,5196.0,1091.0,2.23,-8.45,1.0
-2.576,1.736,3688.0,339.8,7.383,-1.359,2.0
-2.248,2.477,4032.0,792.5,15.7,-0.1857,3.0
-2.973,1.344,3504.0,1150.0,25.4,-6.17,4.0
-2.64,1.259,4580.0,581.5,9.16,-1.926,0.0
-2.258,2.086,4836.0,1149.0,2.5,-3.31,1.0
-2.1,2.451,5420.0,1136.0,19.7,-9.63,2.0
-2.586,2.22,3194.0,700.5,0.994,-4.836,3.0
-2.463,2.723,5880.0,560.5,8.68,-0.799,4.0
-2.242,2.115,5216.0,664.0,1.049,-9.23,0.0
-2.906,1.508,3676.0,1287.0,31.48,-8.26,1.0
-2.201,2.307,3746.0,1381.0,15.78,-8.35,2.0
-2.12,2.74,4292.0,783.5,23.7,-9.04,3.0
-2.764,1.455,5652.0,1223.0,28.62,-4.1,4.0
-2.48,1.586,3944.0,781.0,9.63,-1.129,0.0
-2.53,2.406,3308.0,605.0,3.125,-6.363,1.0
-2.719,1.268,3438.0,998.0,9.33,-7.656,2.0
-2.602,1.064,5420.0,1081.0,9.88,-4.133,3.0
-2.764,1.188,3730.0,869.0,6.773,-1.497,4.0
-2.355,1.6045,4116.0,1255.0,17.8,-7.04,0.0
-2.836,1.929,4100.0,704.5,31.61,-4.77,1.0
-2.854,2.02,3662.0,863.0,34.22,-6.723,2.0
-2.246,2.16,5310.0,910.5,3.51,-6.88,3.0
-2.26,2.535,5116.0,905.5,28.16,-3.393,4.0
-2.266,2.354,5120.0,455.2,2.725,-6.195,0.0
-2.225,2.44,4156.0,394.5,12.82,-1.718,1.0
-2.342,2.898,3522.0,349.2,14.27,-2.744,2.0
-2.686,1.0,5350.0,955.5,4.836,-0.597,3.0
-3.457,1.041,3144.0,1312.0,37.56,-6.01,4.0
-2.377,2.738,5412.0,384.8,7.773,-4.36,0.0
-2.318,1.687,4144.0,942.5,7.383,-1.328,1.0
-2.863,1.46,3380.0,451.0,15.22,-8.29,2.0
-2.281,2.707,3646.0,1178.0,17.92,-3.646,3.0
-2.54,2.473,4412.0,1121.0,32.84,-1.456,4.0
-2.775,1.74,4284.0,880.5,28.08,-3.758,0.0
-2.158,2.4,4780.0,945.5,13.13,-7.895,1.0
-2.633,2.756,3978.0,1279.0,9.875,-6.32,2.0
-2.307,1.57,4812.0,749.5,4.176,-1.299,3.0
-2.63,2.047,3008.0,672.5,11.99,-9.23,4.0
-2.37,1.966,4360.0,896.5,19.92,-1.761,0.0
-2.152,2.191,4920.0,401.0,7.71,-8.59,1.0
-2.922,1.025,3888.0,651.5,8.23,-9.21,2.0
-2.814,2.152,3018.0,452.8,18.06,-1.948,3.0
-2.438,2.512,4704.0,772.5,3.846,-9.39,4.0
-2.23,2.758,5120.0,447.5,13.12,-9.31,0.0
-2.121,2.365,5892.0,1289.0,24.27,-4.445,1.0
-2.857,1.166,4576.0,466.8,13.54,-0.1501,2.0
-2.488,1.506,4450.0,747.0,14.836,-4.074,3.0
-2.494,2.605,3204.0,984.0,21.69,-1.744,4.0
-2.248,2.139,5324.0,598.0,0.1893,-7.74,0.0
-2.156,1.707,4724.0,1208.0,9.19,-4.125,1.0
-2.178,2.34,5770.0,1468.0,17.12,-5.78,2.0
-2.316,2.5,5620.0,999.0,30.34,-2.543,3.0
-2.602,1.944,5336.0,650.5,33.25,-8.71,4.0
-2.79,1.844,5350.0,893.5,30.19,-0.05243,0.0
-2.754,2.762,3046.0,1166.0,7.902,-1.211,1.0
-2.295,2.213,3800.0,855.5,9.02,-3.055,2.0
-2.855,1.836,5652.0,1297.0,39.72,-3.018,3.0
-2.87,1.366,3400.0,453.5,10.08,-4.883,4.0
-2.215,2.746,3924.0,758.5,18.58,-4.215,0.0
-2.193,1.677,5360.0,707.5,3.674,-7.445,1.0
-2.88,1.14,3690.0,1210.0,18.72,-5.223,2.0
-2.62,1.529,3758.0,932.0,17.98,-5.523,3.0
-2.324,2.578,5676.0,1093.0,14.6,-9.53,4.0
-2.318,2.996,3958.0,492.2,29.47,-7.777,0.0
-2.758,1.45,4180.0,1025.0,22.06,-2.363,1.0
-2.11,2.77,5030.0,576.5,23.56,-5.242,2.0
-2.986,1.057,4452.0,430.2,17.97,-8.74,3.0
-2.475,2.055,5436.0,1025.0,27.38,-1.371,4.0
-2.553,2.666,4120.0,1250.0,38.2,-3.027,0.0
-2.572,2.11,3078.0,1087.0,21.12,-6.555,1.0
-2.36,2.191,5692.0,1004.5,0.1702,-7.797,2.0
-2.69,1.482,3166.0,1099.0,11.56,-2.393,3.0
-2.486,1.417,3806.0,1443.0,18.34,-9.16,4.0
-2.094,2.496,4772.0,852.5,19.2,-6.94,0.0
-2.646,1.806,3530.0,1402.0,24.39,-1.816,1.0
-2.434,2.938,5356.0,749.0,33.8,-0.1647,2.0
-2.652,2.936,4296.0,598.5,2.922,-0.3599,3.0
-2.309,1.765,5124.0,430.0,12.87,-0.7856,4.0
-2.668,1.438,3598.0,793.5,11.13,-3.062,0.0
-2.08,2.98,4580.0,1374.0,27.98,-8.18,1.0
-2.562,2.742,4680.0,611.5,2.523,-5.72,2.0
-2.879,2.656,3362.0,624.0,32.7,-1.531,3.0
-2.758,2.258,4228.0,892.5,38.62,-5.24,4.0
-2.178,2.305,4460.0,799.5,10.73,-8.52,0.0
-2.16,2.086,5384.0,1229.0,8.67,-5.723,1.0
-3.105,1.714,3824.0,866.0,32.75,-1.11,2.0
-2.871,1.576,4062.0,575.0,27.44,-9.305,3.0
-3.19,1.443,5516.0,624.0,37.78,-2.4,4.0
-3.395,1.132,4624.0,739.0,39.4,-4.535,0.0
-2.537,1.954,3616.0,1391.0,27.34,-5.883,1.0
-2.49,2.172,5772.0,880.5,31.12,-3.062,2.0
-2.52,1.975,5104.0,684.0,27.6,-4.906,3.0
-3.14,1.418,4904.0,647.5,34.3,-3.562,4.0
-2.291,2.055,4050.0,626.0,7.12,-1.275,0.0
-2.297,2.05,4096.0,575.0,9.1,-0.41,1.0
-2.197,2.764,5988.0,1278.0,24.06,-1.618,2.0
-2.129,1.632,5164.0,1493.0,12.336,-3.557,3.0
-2.26,1.457,4670.0,1385.0,10.164,-3.057,4.0
-2.426,1.377,5216.0,1171.0,15.05,-1.756,0.0
-3.188,1.025,3210.0,978.5,20.67,-7.56,1.0
-2.307,1.518,4420.0,1437.0,13.31,-1.223,2.0
-2.676,1.519,5390.0,1110.0,25.05,-2.268,3.0
-2.588,2.102,3520.0,598.0,18.75,-1.275,4.0
-2.834,2.05,3018.0,352.0,19.88,-9.336,0.0
-2.91,1.744,3540.0,1214.0,36.12,-8.75,1.0
-3.076,2.477,3582.0,395.0,38.53,-1.924,2.0
-2.922,1.887,3026.0,660.0,19.45,-0.548,3.0
-2.477,1.557,5080.0,881.0,18.72,-2.043,4.0
-2.854,2.057,3754.0,1189.0,35.75,-3.209,0.0
-2.55,1.964,3376.0,994.5,18.17,-1.238,1.0
-2.174,2.592,5348.0,800.0,29.42,-7.15,2.0
-2.516,2.994,4356.0,988.5,39.2,-2.387,3.0
-2.168,1.786,4132.0,1335.0,12.13,-8.26,4.0
-2.572,1.962,5756.0,1075.0,36.47,-7.793,0.0
-2.64,1.741,3760.0,1347.0,29.0,-8.43,1.0
-2.465,1.901,5180.0,499.8,21.25,-0.933,2.0
-2.273,1.847,4268.0,952.0,18.58,-8.625,3.0
-2.768,1.391,3646.0,644.5,15.9,-9.164,4.0
-2.268,2.959,4020.0,546.5,28.1,-7.63,0.0
-2.227,1.501,5796.0,826.0,6.484,-3.781,1.0
-2.424,1.525,4550.0,800.5,15.03,-5.707,2.0
-2.205,2.328,4960.0,1017.0,29.45,-9.945,3.0
-2.115,2.621,5684.0,580.5,20.89,-4.125,4.0
-2.451,2.01,3516.0,1473.0,23.11,-2.432,0.0
-2.523,1.226,3932.0,1457.0,12.445,-7.26,1.0
-2.54,2.422,4200.0,1155.0,0.8486,-1.817,2.0
-2.326,2.97,3368.0,934.5,24.78,-7.312,3.0
-2.236,2.24,5748.0,1133.0,9.25,-3.947,4.0
-2.846,1.372,3502.0,857.0,16.25,-1.617,0.0
-2.854,1.433,5090.0,1242.0,26.61,-0.4219,1.0
-2.406,2.783,4210.0,942.5,31.25,-2.45,2.0
-2.174,2.217,4704.0,1142.0,25.08,-7.77,3.0
-2.238,2.893,4704.0,1178.0,32.03,-2.986,4.0
-2.83,2.186,4410.0,632.0,37.25,-4.4,0.0
-2.756,1.628,3058.0,1365.0,24.58,-9.83,1.0
-2.777,1.837,4650.0,1195.0,38.75,-7.426,2.0
-3.059,1.939,3578.0,1074.0,38.72,-3.105,3.0
-2.863,2.184,5652.0,496.8,39.3,-1.922,4.0
-2.34,2.713,4196.0,1037.0,29.58,-2.86,0.0
-2.611,2.244,3554.0,524.5,25.39,-8.15,1.0
-2.96,2.727,5276.0,1468.0,6.305,-6.707,2.0
-2.559,1.096,5056.0,1319.0,11.984,-5.84,3.0
-2.955,1.416,3376.0,1472.0,31.53,-9.25,4.0
-2.443,2.271,5736.0,1144.0,0.934,-1.188,0.0
-2.201,2.055,4896.0,1320.0,23.2,-4.55,1.0
-2.494,1.758,4576.0,1083.0,21.02,-0.0328,2.0
-3.312,1.009,4184.0,1416.0,29.72,-0.10547,3.0
-2.238,1.5,5532.0,907.0,3.041,-2.744,4.0
-2.738,2.793,4628.0,1409.0,10.36,-3.246,0.0
-2.39,2.31,5190.0,1359.0,6.215,-3.19,1.0
-2.79,1.146,5948.0,1116.0,23.98,-8.08,2.0
-3.453,1.154,3866.0,703.0,34.34,-1.507,3.0
-2.3,2.014,4224.0,659.0,0.9795,-4.996,4.0
-2.664,2.445,5024.0,1355.0,0.319,-3.592,0.0
-2.098,1.974,5884.0,1110.0,16.5,-3.828,1.0
-2.281,2.408,5724.0,477.5,5.094,-8.0,2.0
-3.2,1.407,4176.0,787.0,32.16,-1.792,3.0
-3.113,1.047,3222.0,1482.0,22.62,-4.15,4.0
-2.455,1.422,4570.0,1192.0,16.75,-3.977,0.0
