like1,parLUE_max,parVPD_max,parVPD_min,parT_max,parT_min,chain
-4.797,2.576,5936.0,689.5,2.363,-3.568,0.0
-5.824,2.328,5500.0,1308.0,30.27,-0.533,1.0
-5.113,1.726,4796.0,439.5,12.59,-1.914,2.0
-4.445,1.966,4944.0,576.5,6.61,-1.669,3.0
-5.81,2.156,3296.0,1023.5,37.53,-9.42,4.0
-4.5,2.926,3392.0,1451.0,15.58,-6.56,0.0
-4.41,2.285,5664.0,773.0,4.484,-2.545,1.0
-5.754,1.583,3646.0,1115.0,17.36,-1.501,2.0
-4.94,1.726,4990.0,849.0,13.984,-3.145,3.0
-5.035,1.536,3998.0,403.8,7.098,-3.271,4.0
-5.31,1.43,4644.0,942.5,16.61,-6.863,0.0
-5.152,2.885,5390.0,1209.0,33.12,-3.676,1.0
-4.75,2.303,3512.0,635.0,0.04114,-0.6606,2.0
-4.594,1.416,3992.0,1433.0,10.555,-9.98,3.0
-5.797,1.892,4468.0,514.5,19.12,-0.4084,4.0
-5.46,1.975,4244.0,1401.0,33.06,-8.72,0.0
-5.09,1.888,4444.0,648.0,18.31,-5.953,1.0
-4.16,2.32,5736.0,989.5,15.59,-6.86,2.0
-5.527,2.402,5340.0,860.0,27.62,-2.041,3.0
-5.508,2.877,5120.0,851.5,1.268,-5.016,4.0
-6.2,1.473,5540.0,668.0,21.39,-0.4646,0.0
-4.63,2.275,3192.0,1399.0,4.55,-5.887,1.0
-5.746,1.207,5280.0,1269.0,18.75,-5.64,2.0
-4.46,2.205,5508.0,1251.0,11.71,-1.975,3.0
-5.973,1.095,4520.0,1405.0,17.31,-3.705,4.0
-5.277,1.488,5070.0,813.0,16.52,-5.82,0.0
-5.53,2.719,4230.0,1441.0,1.699,-5.0,1.0
-5.816,1.608,3060.0,1132.0,20.03,-4.96,2.0
-5.387,2.953,5384.0,628.5,3.727,-2.023,3.0
-6.547,1.334,5924.0,860.0,37.84,-6.23,4.0
-5.652,2.04,5500.0,503.2,36.12,-9.555,0.0
