like1,parLUE_max,parVPD_max,parVPD_min,parT_max,parT_min,chain
-5.58,2.105,3956.0,1024.0,4.062,-4.65,0.0
-7.586,1.706,5584.0,944.0,15.95,-0.9795,1.0
-8.914,2.53,3326.0,523.0,37.38,-6.01,2.0
-8.695,2.332,4136.0,535.5,32.06,-4.61,3.0
-7.2,2.664,4620.0,1243.0,29.42,-5.473,4.0
-6.137,2.076,3456.0,668.0,10.42,-8.5,0.0
-10.03,1.398,5624.0,367.8,26.83,-1.964,1.0
-5.258,2.396,3838.0,866.5,9.56,-1.004,2.0
-8.67,1.79,5450.0,1016.0,27.08,-5.297,3.0
-5.246,2.896,3666.0,384.5,5.812,-9.74,4.0
-8.61,1.174,4904.0,483.5,8.67,-7.32,0.0
-5.492,2.254,4428.0,1044.0,0.574,-9.16,1.0
-8.92,1.914,3506.0,1380.0,32.12,-5.793,2.0
-7.637,2.79,4500.0,1480.0,39.5,-9.33,3.0
-9.23,1.667,3786.0,1281.0,32.88,-8.57,4.0
-7.203,2.42,3286.0,494.2,20.61,-4.734,0.0
-8.14,1.374,4900.0,931.0,12.9,-0.779,1.0
-8.93,1.572,3684.0,1194.0,26.73,-8.0,2.0
-9.086,1.571,4430.0,1278.0,26.86,-5.45,3.0
-6.23,1.7705,4336.0,1450.0,6.535,-4.87,4.0
-9.39,1.234,4284.0,1220.0,23.25,-7.473,0.0
-6.164,1.969,4896.0,533.0,5.723,-9.99,1.0
-9.21,1.428,5930.0,944.5,24.52,-5.176,2.0
-7.195,2.13,4196.0,501.2,20.03,-7.88,3.0
-10.91,1.112,5630.0,1443.0,36.53,-2.1,4.0
-5.164,2.795,3606.0,1032.0,3.45,-6.133,0.0
-8.875,2.346,3914.0,533.0,36.1,-6.67,1.0
-9.86,1.174,3622.0,1175.0,25.97,-6.957,2.0
-5.082,2.469,4412.0,993.5,10.36,-0.4624,3.0
-9.05,1.847,5444.0,804.0,33.88,-8.32,4.0
-6.926,1.707,5490.0,615.5,11.61,-7.168,0.0
-5.37,2.977,4948.0,440.5,1.69,-7.617,1.0
-9.33,2.58,4052.0,662.0,38.9,-1.266,2.0
-10.766,1.287,4600.0,1472.0,39.03,-2.027,3.0
-5.582,2.152,4550.0,961.5,9.15,-0.696,4.0
-9.83,1.462,4510.0,1316.0,27.33,-0.515,0.0
-8.18,2.06,3230.0,746.5,26.62,-8.37,1.0
-9.336,2.004,5990.0,491.5,31.36,-1.883,2.0
-10.55,1.083,5844.0,1009.0,33.7,-6.89,3.0
-6.883,2.26,3730.0,1178.0,23.77,-9.36,4.0
-5.71,2.076,5404.0,672.5,6.94,-8.24,0.0
-7.863,1.433,5668.0,1309.0,13.805,-2.348,1.0
-5.688,2.123,3560.0,1405.0,13.016,-7.98,2.0
-6.195,2.404,4776.0,789.0,20.11,-7.83,3.0
-8.086,2.135,5080.0,656.0,26.08,-4.84,4.0
-8.95,2.06,5348.0,584.5,27.25,-0.5537,0.0
-10.38,1.247,5676.0,1128.0,32.97,-3.756,1.0
-7.46,2.68,5184.0,781.0,32.78,-8.0,2.0
-4.664,2.947,4964.0,606.0,14.16,-6.84,3.0
-4.64,2.68,5004.0,1478.0,9.62,-6.324,4.0
-9.12,1.418,5532.0,1284.0,24.94,-6.684,0.0
-6.97,1.624,5136.0,625.5,2.957,-3.518,1.0
-9.375,1.181,4068.0,1347.0,21.89,-7.617,2.0
-6.797,1.789,3874.0,857.0,11.78,-3.23,3.0
-9.48,1.16,5410.0,466.0,19.31,-6.496,4.0
-7.625,1.407,5940.0,541.5,2.715,-9.26,0.0
-5.41,2.29,3510.0,846.5,5.633,-4.76,1.0
-6.504,1.91,3014.0,1145.0,14.195,-7.89,2.0
-4.91,2.605,3706.0,1305.0,5.965,-6.074,3.0
-5.434,2.312,4074.0,1469.0,14.26,-5.496,4.0
-5.293,2.426,4470.0,576.0,5.426,-6.906,0.0
-6.625,2.727,5212.0,1381.0,23.47,-1.711,1.0
-5.2,2.676,5600.0,1287.0,18.4,-7.09,2.0
-5.57,2.18,4444.0,1177.0,12.1,-3.572,3.0
-8.33,1.144,5230.0,910.5,3.785,-7.93,4.0
-7.28,1.619,3548.0,818.0,11.71,-6.113,0.0
-11.16,1.027,4564.0,444.2,39.9,-6.0,1.0
-4.71,2.736,4480.0,1391.0,8.83,-8.125,2.0
-9.57,1.321,4940.0,450.5,21.66,-3.123,3.0
-6.875,2.727,3862.0,892.0,23.69,-2.068,4.0
-8.76,1.436,3112.0,661.0,17.97,-6.61,0.0
-4.812,2.96,5696.0,1311.0,9.05,-9.15,1.0
-8.1,2.342,3214.0,577.5,28.98,-8.74,2.0
-10.15,1.0625,5404.0,449.8,24.08,-7.13,3.0
-6.04,2.09,3776.0,588.0,5.61,-7.06,4.0
-4.82,2.492,4664.0,1163.0,9.35,-8.32,0.0
-8.9,1.768,3714.0,1007.0,29.45,-7.316,1.0
-8.305,1.639,4396.0,1177.0,20.5,-3.121,2.0
-7.094,1.543,4078.0,1369.0,8.234,-0.63,3.0
-8.43,1.448,4640.0,1418.0,18.73,-3.857,4.0
-8.68,1.152,4710.0,620.5,8.52,-1.31,0.0
-8.75,1.406,4780.0,1302.0,19.94,-3.61,1.0
-8.664,2.893,3246.0,890.0,39.25,-2.717,2.0
-7.14,1.468,4296.0,1435.0,1.917,-5.746,3.0
-8.8,2.52,5050.0,1417.0,38.06,-2.629,4.0
-7.36,1.455,5824.0,950.5,9.02,-4.21,0.0
-7.707,1.391,5776.0,587.0,8.06,-8.3,1.0
-8.48,1.13,4240.0,878.0,4.027,-1.642,2.0
-9.664,1.451,4890.0,379.5,24.75,-3.488,3.0
-8.555,2.057,4880.0,866.0,29.72,-5.03,4.0
-6.816,2.562,3060.0,546.5,21.61,-8.26,0.0
-9.64,1.376,5876.0,1281.0,29.7,-6.895,1.0
-7.28,1.561,4676.0,1454.0,13.586,-6.027,2.0
-8.54,2.916,4264.0,645.5,39.03,-3.553,3.0
-5.215,2.938,5360.0,1308.0,3.79,-6.23,4.0
-8.32,1.179,4070.0,931.5,6.047,-2.402,0.0
-7.594,1.563,5490.0,1009.0,15.91,-6.77,1.0
-7.05,2.041,4136.0,508.2,17.1,-6.133,2.0
-6.75,2.723,3106.0,457.2,21.7,-7.1,3.0
-4.88,2.521,4104.0,1360.0,6.953,-0.08997,4.0
-7.516,1.505,5576.0,347.5,4.594,-3.844,0.0
-7.41,1.398,5044.0,1172.0,7.54,-8.24,1.0
-6.055,1.909,5468.0,1449.0,12.49,-8.63,2.0
-7.812,1.289,3432.0,1387.0,2.217,-0.5464,3.0
-8.48,1.491,3296.0,479.5,15.54,-7.29,4.0
-8.89,1.771,4708.0,468.5,24.73,-4.29,0.0
-6.215,1.807,5544.0,943.0,2.664,-2.422,1.0
