like1,parLUE_max,parVPD_max,parVPD_min,parT_max,parT_min,chain
-2.314,1.067,5220.0,812.0,25.95,-8.875,0.0
-2.38,1.387,4776.0,598.0,29.19,-0.2253,1.0
-1.638,2.787,4708.0,489.0,31.31,-4.73,2.0
-1.72,1.422,5670.0,1435.0,9.414,-5.652,3.0
-1.579,2.93,3986.0,1398.0,37.53,-7.688,4.0
-1.982,1.779,4816.0,736.5,27.05,-1.699,0.0
-1.648,2.752,3858.0,797.0,29.02,-5.105,1.0
-2.041,2.633,4086.0,508.0,36.28,-1.555,2.0
-1.841,2.137,3476.0,785.0,8.9,-9.055,3.0
-1.855,1.6045,3766.0,1051.0,6.586,-6.17,4.0
-1.499,2.645,4548.0,1261.0,29.88,-6.965,0.0
-1.471,2.396,5588.0,718.0,22.39,-3.988,1.0
-1.82,1.884,5900.0,1235.0,7.516,-9.5,2.0
-1.859,2.21,4612.0,886.5,4.07,-0.7397,3.0
-1.608,2.96,4270.0,1285.0,35.12,-1.736,4.0
-1.806,1.917,4416.0,1147.0,4.965,-6.914,0.0
-2.373,1.215,5184.0,1394.0,36.4,-6.45,1.0
-1.965,1.913,4468.0,704.0,30.73,-7.77,2.0
-1.593,1.895,4120.0,954.5,15.03,-2.62,3.0
-2.121,1.908,4764.0,746.0,35.44,-4.203,4.0
-1.483,2.324,5076.0,1058.0,23.89,-7.258,0.0
-2.06,2.299,5490.0,722.5,1.478,-7.68,1.0
-2.594,1.25,4184.0,565.5,39.88,-9.46,2.0
-1.924,1.651,3986.0,830.0,23.0,-8.31,3.0
-2.172,1.381,4964.0,448.2,22.9,-0.04044,4.0
-2.465,1.623,4116.0,326.8,37.25,-5.824,0.0
-1.696,1.821,4212.0,1326.0,24.31,-6.03,1.0
-1.942,1.219,5736.0,674.5,15.3,-1.567,2.0
-1.824,2.34,3158.0,748.5,15.35,-8.91,3.0
-2.1,1.125,5830.0,1356.0,24.23,-6.97,4.0
-1.8125,1.915,4044.0,1087.0,25.48,-3.42,0.0
-1.774,1.458,5980.0,587.0,10.77,-9.66,1.0
-2.191,1.747,3318.0,616.0,22.45,-1.356,2.0
-1.51,2.629,5332.0,677.0,20.64,-5.613,3.0
-1.8955,2.195,3064.0,750.0,13.375,-2.08,4.0
-1.659,2.709,5664.0,921.0,37.78,-5.367,0.0
-1.655,1.515,5684.0,1027.0,14.734,-6.49,1.0
-2.064,2.395,5576.0,1247.0,10.59,-5.125,2.0
-1.81,2.998,4932.0,1167.0,21.47,-7.05,3.0
-2.357,2.027,3118.0,1433.0,39.03,-0.464,4.0
-1.529,2.457,3726.0,1067.0,21.12,-5.555,0.0
-2.117,1.879,3038.0,973.0,0.0646,-4.1,1.0
-1.996,2.14,3358.0,1011.0,26.2,-0.418,2.0
-1.983,2.018,5280.0,1246.0,0.6553,-3.549,3.0
-2.393,1.57,4452.0,1117.0,36.8,-0.3093,4.0
-1.561,2.459,5196.0,411.0,25.88,-5.75,0.0
-2.559,2.75,5868.0,1021.5,8.06,-8.83,1.0
-1.772,1.528,4412.0,844.5,14.37,-2.68,2.0
-2.229,1.685,3796.0,685.0,30.61,-7.56,3.0
-1.94,1.746,4104.0,688.5,25.11,-9.63,4.0
-1.599,2.182,4364.0,1255.0,15.81,-9.02,0.0
-1.668,1.721,4692.0,648.0,16.34,-2.48,1.0
-1.532,2.053,5820.0,1325.0,23.89,-3.098,2.0
-1.732,2.703,4170.0,347.0,11.34,-8.25,3.0
-2.338,2.777,5984.0,670.5,7.73,-2.926,4.0
-2.047,1.299,4370.0,468.5,7.59,-5.75,0.0
-1.457,2.975,4652.0,1095.0,24.45,-1.521,1.0
-1.909,1.717,3210.0,1481.0,5.53,-0.0944,2.0
-2.107,2.861,5080.0,1351.0,17.22,-4.684,3.0
-1.512,2.475,5948.0,349.0,24.62,-6.133,4.0
-1.871,1.883,4196.0,491.5,0.408,-7.984,0.0
-1.896,2.484,3898.0,850.5,32.03,-1.882,1.0
-1.575,2.342,5380.0,915.0,28.9,-6.973,2.0
-1.626,2.701,5020.0,435.8,16.4,-7.254,3.0
-1.514,2.428,5904.0,533.5,18.38,-2.988,4.0
-1.501,2.793,5010.0,1103.0,32.28,-8.38,0.0
-2.084,1.365,5680.0,586.0,23.44,-1.784,1.0
-1.801,2.523,4084.0,348.0,7.645,-8.53,2.0
-2.133,1.799,3140.0,473.2,17.47,-0.884,3.0
-2.209,1.167,4002.0,642.0,18.28,-6.94,4.0
-1.733,1.876,4812.0,595.0,7.06,-7.547,0.0
-1.9795,1.634,3910.0,484.0,0.7764,-9.31,1.0
-1.596,1.797,4740.0,1366.0,12.36,-0.919,2.0
-1.646,2.021,4620.0,1310.0,27.69,-7.273,3.0
-1.957,1.093,4616.0,1420.0,14.64,-9.14,4.0
-1.894,2.264,3180.0,611.0,10.22,-3.633,0.0
-2.104,2.16,4936.0,582.0,37.66,-2.893,1.0
-1.935,1.202,5390.0,969.5,2.32,-4.668,2.0
-2.021,1.982,4596.0,1314.0,38.78,-5.082,3.0
-1.557,1.779,5932.0,954.0,16.95,-9.27,4.0
-2.574,1.124,3598.0,745.5,28.98,-6.195,0.0
-2.396,1.559,3092.0,477.2,23.67,-8.39,1.0
-2.115,2.588,3956.0,1029.0,4.89,-3.998,2.0
-2.256,1.49,3328.0,1232.0,26.03,-1.687,3.0
-1.488,2.754,5084.0,578.5,26.92,-5.125,4.0
-2.133,1.248,4424.0,1078.0,24.44,-8.39,0.0
-1.776,2.365,3300.0,1015.0,11.81,-3.08,1.0
-1.717,2.562,3218.0,1275.0,25.95,-7.715,2.0
-2.014,2.129,5010.0,1272.0,1.784,-0.1487,3.0
-1.851,2.617,3524.0,1009.5,35.7,-8.91,4.0
-2.209,1.09,3780.0,903.5,12.89,-3.059,0.0
-2.514,2.998,5612.0,975.0,13.1,-8.88,1.0
-2.32,1.276,4492.0,1197.0,29.3,-1.974,2.0
-2.47,1.074,5016.0,1111.0,33.25,-6.297,3.0
-1.686,2.94,5692.0,438.0,39.3,-6.137,4.0
