like1,parLUE_max,parVPD_max,parVPD_min,parT_max,parT_min,chain
-4.38,2.0,5612.0,577.0,12.49,-5.723,0.0
-5.387,1.071,5780.0,659.0,5.098,-1.616,1.0
-4.938,2.195,3038.0,850.0,15.03,-7.918,2.0
-4.2,2.084,4430.0,568.5,3.629,-9.12,3.0
-4.715,2.986,4652.0,1468.0,14.37,-9.96,4.0
-4.324,2.525,4050.0,684.0,11.59,-6.582,0.0
-6.086,1.629,5292.0,1339.0,33.94,-5.84,1.0
-5.04,1.979,4424.0,971.5,14.89,-1.41,2.0
-6.52,1.752,3556.0,1240.0,35.4,-2.936,3.0
-4.45,2.56,5536.0,612.5,10.63,-2.621,4.0
-4.74,2.54,4764.0,715.0,26.22,-8.75,0.0
-6.52,1.207,4092.0,944.5,31.56,-8.56,1.0
-6.24,1.711,3970.0,520.5,25.98,-3.957,2.0
-4.504,2.303,4256.0,1254.0,18.39,-6.363,3.0
-5.38,1.936,5692.0,1032.0,25.69,-5.453,4.0
-6.35,1.32,5510.0,707.5,34.56,-9.68,0.0
-5.652,1.084,4212.0,746.0,12.336,-9.77,1.0
-5.203,1.513,3040.0,869.5,9.95,-9.68,2.0
-6.246,1.232,5190.0,1486.0,25.11,-3.984,3.0
-4.38,1.503,5324.0,1466.0,9.93,-8.555,4.0
-4.793,2.383,5012.0,1383.0,2.623,-5.07,0.0
-4.87,2.676,4444.0,1118.0,21.8,-2.713,1.0
-4.89,1.349,5290.0,1269.0,13.63,-9.664,2.0
-6.605,1.058,4170.0,1316.0,31.75,-8.414,3.0
-5.9,1.568,5970.0,1000.0,32.12,-8.72,4.0
-5.184,1.628,3010.0,1402.0,14.62,-6.945,0.0
-5.848,2.111,3856.0,1436.0,28.88,-2.34,1.0
-4.652,2.455,5490.0,1322.0,10.05,-1.809,2.0
-5.01,1.144,4500.0,1445.0,8.64,-8.266,3.0
-4.918,1.792,4820.0,1347.0,20.05,-7.55,4.0
-6.43,1.553,4724.0,346.2,35.25,-7.855,0.0
-6.727,1.556,4864.0,594.5,39.38,-4.047,1.0
-5.63,2.932,5384.0,361.0,30.33,-1.234,2.0
-6.457,1.658,3572.0,1464.0,38.5,-4.92,3.0
-6.605,1.693,3418.0,812.5,28.39,-1.584,4.0
-5.55,1.987,4120.0,711.5,24.23,-5.914,0.0
-5.55,2.523,4504.0,748.5,38.16,-7.727,1.0
-5.82,2.889,5500.0,1162.0,4.06,-1.612,2.0
-6.332,1.592,5296.0,789.5,37.62,-6.938,3.0
-4.805,2.055,3356.0,924.0,14.234,-7.05,4.0
-4.934,2.852,3734.0,936.5,7.97,-5.53,0.0
-5.906,2.46,3680.0,348.8,31.02,-5.45,1.0
-5.34,1.536,4252.0,1431.0,21.69,-8.984,2.0
-5.54,2.02,5136.0,669.5,32.44,-9.33,3.0
-5.508,2.701,5530.0,1272.0,34.8,-2.73,4.0
-6.06,2.088,5390.0,409.0,32.4,-3.615,0.0
-5.754,1.902,4820.0,888.5,33.88,-8.56,1.0
-6.598,1.677,4556.0,832.0,36.4,-2.898,2.0
-4.617,1.497,4784.0,560.0,2.406,-4.977,3.0
-4.086,1.8,5630.0,1230.0,3.064,-6.77,4.0
-5.15,2.797,3386.0,1468.0,24.56,-2.488,0.0
-7.14,1.007,4082.0,726.0,28.31,-0.6284,1.0
-5.008,1.421,5490.0,1108.0,12.15,-3.766,2.0
-4.195,2.604,4884.0,1449.0,21.86,-8.92,3.0
-6.25,1.653,5844.0,1309.0,35.4,-4.145,4.0
-5.305,2.738,4776.0,875.0,31.6,-4.32,0.0
-5.14,2.729,5132.0,1207.0,6.926,-3.05,1.0
-5.848,2.406,4196.0,636.0,27.44,-1.857,2.0
-6.39,1.357,3666.0,1433.0,34.22,-7.87,3.0
-5.152,1.784,3802.0,750.0,11.266,-1.349,4.0
-5.56,1.301,3152.0,1084.0,8.64,-2.088,0.0
-4.62,2.7,4370.0,841.0,14.12,-1.932,1.0
-6.348,1.16,4570.0,819.0,21.25,-4.066,2.0
-4.88,2.414,3932.0,1410.0,2.234,-6.156,3.0
-5.504,2.154,4296.0,1001.5,31.69,-7.613,4.0
-5.637,2.389,4690.0,622.5,31.0,-4.68,0.0
-4.836,2.492,3038.0,344.2,11.18,-7.43,1.0
-6.242,1.434,4790.0,1077.0,32.56,-7.375,2.0
-4.926,1.357,4484.0,894.0,10.84,-9.89,3.0
-5.543,1.469,4210.0,1008.5,12.93,-0.144,4.0
-6.066,1.255,3326.0,1210.0,18.27,-4.816,0.0
-4.887,2.916,3522.0,377.2,15.52,-2.637,1.0
-6.176,1.668,3196.0,1349.0,28.12,-4.656,2.0
-5.566,1.819,5470.0,1077.0,27.42,-6.105,3.0
-6.703,1.924,3056.0,957.0,32.6,-1.137,4.0
-4.867,2.625,4430.0,663.5,21.4,-4.26,0.0
-5.94,2.395,3168.0,462.2,32.2,-8.22,1.0
-4.83,2.748,3026.0,417.8,14.39,-7.582,2.0
-6.53,1.682,5740.0,940.5,33.03,-0.8716,3.0
-5.336,2.229,3110.0,1384.0,19.62,-2.664,4.0
-4.758,2.895,4644.0,1420.0,16.81,-0.753,0.0
-7.06,1.005,5628.0,451.5,26.8,-0.0302,1.0
-5.3,1.785,3910.0,746.0,13.23,-1.28,2.0
-6.64,1.818,3124.0,635.5,34.16,-4.676,3.0
-4.34,2.023,4708.0,1107.0,12.45,-5.816,4.0
-5.918,1.815,3518.0,825.0,19.61,-1.719,0.0
-4.46,2.385,3754.0,606.0,14.02,-8.01,1.0
-5.004,1.35,3884.0,596.0,1.896,-6.03,2.0
-6.875,1.089,4088.0,656.0,31.44,-5.9,3.0
-4.258,2.182,5736.0,1046.0,13.14,-5.375,4.0
-4.754,2.932,3868.0,462.2,24.22,-8.01,0.0
-5.285,1.233,3746.0,921.5,3.924,-1.83,1.0
-4.242,2.2,5510.0,777.5,17.34,-9.83,2.0
-6.49,1.549,4304.0,1464.0,34.16,-2.77,3.0
-6.27,1.74,3168.0,922.5,30.1,-6.383,4.0
-4.887,2.701,3436.0,902.5,8.25,-3.105,0.0
-5.207,2.146,4492.0,1437.0,21.33,-2.086,1.0
-5.094,2.988,5680.0,1308.0,36.3,-4.668,2.0
-4.484,2.031,5076.0,891.0,18.28,-9.766,3.0
-6.62,1.969,5864.0,898.5,39.53,-0.2764,4.0
-4.203,2.47,4596.0,1035.0,15.9,-7.777,0.0
-6.363,2.271,3516.0,1313.0,33.38,-0.0375,1.0
-4.258,2.844,5156.0,1459.0,26.6,-8.734,2.0
-5.773,2.035,5628.0,380.0,35.22,-8.51,3.0
-5.375,1.807,4188.0,525.5,15.14,-2.455,4.0
-5.984,1.362,5684.0,1129.0,24.5,-5.39,0.0
-4.88,1.915,5610.0,434.2,19.14,-8.34,1.0
-4.617,2.412,3894.0,1086.0,12.07,-2.607,2.0
-6.86,1.425,3094.0,408.8,23.86,-1.827,3.0
-4.754,1.963,3158.0,853.5,6.555,-5.93,4.0
-5.883,1.087,5944.0,1153.0,18.98,-7.43,0.0
-4.957,2.494,4404.0,1489.0,4.82,-4.316,1.0
-5.617,1.381,4200.0,626.5,16.48,-7.574,2.0
-5.98,1.146,5516.0,528.5,20.17,-9.43,3.0
-6.426,1.867,3310.0,701.5,27.52,-2.531,4.0
-4.49,1.562,3910.0,1479.0,1.948,-2.848,0.0
-5.844,2.58,4096.0,811.5,38.6,-5.203,1.0
-5.67,2.102,4236.0,985.0,24.11,-2.174,2.0
-4.996,1.089,5930.0,916.0,2.23,-5.434,3.0
-5.1,2.68,3134.0,1480.0,30.16,-7.426,4.0
-5.64,1.989,4910.0,1318.0,35.16,-7.66,0.0
-6.402,1.58,3550.0,396.8,32.22,-9.96,1.0
-4.77,2.969,3992.0,1215.0,23.62,-3.611,2.0
-4.4,1.857,5984.0,416.0,12.375,-7.57,3.0
-5.074,2.682,4924.0,1004.5,30.33,-5.36,4.0
-4.707,2.988,5612.0,662.5,10.72,-5.742,0.0
-5.555,1.776,4628.0,1205.0,30.66,-9.766,1.0
-6.645,1.169,5540.0,742.5,36.53,-8.45,2.0
-5.246,2.727,4668.0,918.0,31.48,-4.836,3.0
-5.617,1.376,3954.0,544.5,15.94,-9.1,4.0
-4.59,2.432,3912.0,1476.0,13.01,-3.023,0.0
-5.52,1.731,3676.0,1479.0,25.95,-8.1,1.0
-4.63,1.711,3424.0,946.0,1.058,-5.285,2.0
-5.145,2.896,3762.0,719.0,26.02,-4.56,3.0
-6.79,1.38,3894.0,451.0,39.88,-8.445,4.0
-6.445,1.316,5068.0,634.5,34.4,-9.04,0.0
-4.34,1.963,5980.0,389.8,8.71,-3.973,1.0
-4.223,2.621,5956.0,509.5,11.414,-6.125,2.0
-5.746,1.989,5636.0,789.5,30.44,-4.996,3.0
-4.67,2.473,3898.0,859.5,22.08,-8.97,4.0
-4.125,1.962,4800.0,1142.0,5.53,-8.25,0.0
-5.992,1.462,4508.0,522.5,20.2,-4.35,1.0
-4.824,1.83,4980.0,550.5,14.875,-6.08,2.0
-5.105,2.607,4750.0,1370.0,39.88,-9.484,3.0
-5.445,2.42,3750.0,508.0,22.78,-4.18,4.0
-4.684,1.688,4364.0,1056.0,13.41,-7.504,0.0
-4.387,2.6,3808.0,1099.0,11.84,-8.7,1.0
-6.016,2.395,5124.0,1256.0,33.34,-0.4192,2.0
-5.52,2.48,4082.0,766.5,37.44,-9.11,3.0
-4.938,2.455,5544.0,1391.0,5.914,-1.156,4.0
-4.598,2.717,3918.0,1496.0,19.44,-3.732,0.0
-7.29,1.113,3138.0,1082.0,39.5,-1.899,1.0
-5.402,2.23,3664.0,698.5,25.38,-7.5,2.0
-4.31,2.047,5068.0,489.5,7.73,-4.46,3.0
-6.473,1.264,5876.0,514.5,31.12,-6.945,4.0
-5.016,2.484,5164.0,412.8,21.7,-3.816,0.0
-5.78,1.258,5004.0,626.0,17.44,-6.7,1.0
-4.855,2.703,4510.0,1034.0,29.34,-7.152,2.0
-6.023,2.361,4480.0,1037.0,33.03,-1.463,3.0
-6.297,1.236,4360.0,685.5,20.5,-3.838,4.0
-4.723,2.988,4740.0,861.0,21.25,-2.422,0.0
-5.246,1.208,4816.0,1026.0,11.805,-7.164,1.0
