name,date,lat,lon,target
US-AR1,2010-04-08,36.4267,-99.42,4.495010000000001
US-AR1,2010-04-09,36.4267,-99.42,2.875315
US-AR1,2010-04-10,36.4267,-99.42,2.760484
US-AR1,2010-04-11,36.4267,-99.42,2.28737
US-AR1,2010-04-12,36.4267,-99.42,2.266092
US-AR1,2010-04-13,36.4267,-99.42,1.4409087
US-AR1,2010-04-14,36.4267,-99.42,2.053243
US-AR1,2010-04-15,36.4267,-99.42,1.292593
US-AR1,2010-04-16,36.4267,-99.42,0.4407717
US-AR1,2010-04-17,36.4267,-99.42,0.394208
US-AR1,2010-04-18,36.4267,-99.42,0.24463500000000002
US-AR1,2010-04-19,36.4267,-99.42,0.6500308
US-AR1,2010-04-20,36.4267,-99.42,0.565302
US-AR1,2010-04-21,36.4267,-99.42,1.6648830000000001
US-AR1,2010-04-22,36.4267,-99.42,0.791592
US-AR1,2010-04-23,36.4267,-99.42,1.650935
US-AR1,2010-04-24,36.4267,-99.42,1.2297649
US-AR1,2010-04-25,36.4267,-99.42,2.085469
US-AR1,2010-04-26,36.4267,-99.42,1.5498560000000001
US-AR1,2010-04-27,36.4267,-99.42,1.9234399999999998
US-AR1,2010-04-28,36.4267,-99.42,1.7863790000000002
US-AR1,2010-04-29,36.4267,-99.42,2.294035
US-AR1,2010-04-30,36.4267,-99.42,2.077525
US-AR1,2010-05-01,36.4267,-99.42,2.147527
US-AR1,2010-05-02,36.4267,-99.42,2.09032
US-AR1,2010-05-03,36.4267,-99.42,2.280995
US-AR1,2010-05-04,36.4267,-99.42,2.7288300000000003
US-AR1,2010-05-05,36.4267,-99.42,2.5684899999999997
US-AR1,2010-05-06,36.4267,-99.42,2.84192
US-AR1,2010-05-07,36.4267,-99.42,2.019202
US-AR1,2010-05-08,36.4267,-99.42,2.2538780000000003
US-AR1,2010-05-09,36.4267,-99.42,2.11432
US-AR1,2010-05-10,36.4267,-99.42,2.252427
US-AR1,2010-05-11,36.4267,-99.42,3.26303
US-AR1,2010-05-12,36.4267,-99.42,2.22623
US-AR1,2010-05-13,36.4267,-99.42,1.475016
US-AR1,2010-05-14,36.4267,-99.42,2.021083
US-AR1,2010-05-15,36.4267,-99.42,2.60521
US-AR1,2010-05-16,36.4267,-99.42,3.30597
US-AR1,2010-05-17,36.4267,-99.42,3.16259
US-AR1,2010-05-18,36.4267,-99.42,2.36303
US-AR1,2010-05-19,36.4267,-99.42,0.5577122999999999
US-AR1,2010-05-20,36.4267,-99.42,0.844033
US-AR1,2010-05-21,36.4267,-99.42,1.225562
US-AR1,2010-05-22,36.4267,-99.42,NA
US-AR1,2010-05-23,36.4267,-99.42,NA
US-AR1,2010-05-24,36.4267,-99.42,NA
US-AR1,2010-05-25,36.4267,-99.42,0.049931999999999976
US-AR1,2010-05-26,36.4267,-99.42,0.158143
US-AR1,2010-05-27,36.4267,-99.42,1.000605
US-AR1,2010-05-28,36.4267,-99.42,1.510281
US-AR1,2010-05-29,36.4267,-99.42,1.75611
US-AR1,2010-05-30,36.4267,-99.42,3.53522
US-AR1,2010-05-31,36.4267,-99.42,2.99957
US-AR1,2010-06-01,36.4267,-99.42,5.04556
US-AR1,2010-06-02,36.4267,-99.42,9.32428
US-AR1,2010-06-03,36.4267,-99.42,8.52722
US-AR1,2010-06-04,36.4267,-99.42,9.013580000000001
US-AR1,2010-06-05,36.4267,-99.42,8.65217
US-AR1,2010-06-06,36.4267,-99.42,10.62773
US-AR1,2010-06-07,36.4267,-99.42,4.312049999999999
US-AR1,2010-06-08,36.4267,-99.42,9.213750000000001
US-AR1,2010-06-09,36.4267,-99.42,10.51856
US-AR1,2010-06-10,36.4267,-99.42,9.25722
US-AR1,2010-06-11,36.4267,-99.42,9.10801
US-AR1,2010-06-12,36.4267,-99.42,10.370360000000002
US-AR1,2010-06-13,36.4267,-99.42,6.46983
US-AR1,2010-06-14,36.4267,-99.42,3.7397599999999995
US-AR1,2010-06-15,36.4267,-99.42,9.02636
US-AR1,2010-06-16,36.4267,-99.42,6.77377
US-AR1,2010-06-17,36.4267,-99.42,7.55089
US-AR1,2010-06-18,36.4267,-99.42,8.43028
US-AR1,2010-06-19,36.4267,-99.42,7.567119999999999
US-AR1,2010-06-20,36.4267,-99.42,8.822759999999999
US-AR1,2010-06-21,36.4267,-99.42,8.80413
US-AR1,2010-06-22,36.4267,-99.42,8.94043
US-AR1,2010-06-23,36.4267,-99.42,8.463470000000001
US-AR1,2010-06-24,36.4267,-99.42,7.41426
US-AR1,2010-06-25,36.4267,-99.42,11.23052
US-AR1,2010-06-26,36.4267,-99.42,8.58052
US-AR1,2010-06-27,36.4267,-99.42,7.43468
US-AR1,2010-06-28,36.4267,-99.42,7.56039
US-AR1,2010-06-29,36.4267,-99.42,7.4795
US-AR1,2010-06-30,36.4267,-99.42,7.51957
US-AR1,2010-07-01,36.4267,-99.42,6.831189999999999
US-AR1,2010-07-02,36.4267,-99.42,4.87203
US-AR1,2010-07-03,36.4267,-99.42,4.7687100000000004
US-AR1,2010-07-04,36.4267,-99.42,7.51806
US-AR1,2010-07-05,36.4267,-99.42,7.13636
US-AR1,2010-07-06,36.4267,-99.42,8.33497
US-AR1,2010-07-07,36.4267,-99.42,10.51629
US-AR1,2010-07-08,36.4267,-99.42,8.19523
US-AR1,2010-07-09,36.4267,-99.42,11.00196
US-AR1,2010-07-10,36.4267,-99.42,13.128630000000001
US-AR1,2010-07-11,36.4267,-99.42,15.30892
