like1,partmin_open,partmin_close,parvpd_open,parvpd_close,pargl_sh,pargl_e_wv,parCl,parrbl_min,parrbl_max,chain
-0.747,11.195,-7.453,1010.5,4032.0,0.03308,0.06024,0.00159,55.44,25.23,0.0
-1.112,9.414,-6.74,996.5,5240.0,0.0778,0.04044,0.00524,47.53,143.6,1.0
-0.9478,10.34,-6.17,1318.0,4950.0,0.03375,0.00725,0.01221,58.75,20.27,2.0
-0.7896,9.086,-6.527,1128.0,6016.0,0.04865,0.03375,0.003344,100.44,143.4,3.0
-1.529,8.875,-7.19,1034.0,1938.0,0.11395,0.0678,0.00986,89.06,57.16,4.0
-0.801,12.266,-7.688,472.0,3074.0,0.04214,0.092,0.003422,36.97,101.94,0.0
-1.717,10.57,-7.34,537.5,4396.0,0.1129,0.07587,0.00983,15.98,130.2,1.0
-1.774,11.99,-7.785,755.5,6410.0,0.1002,0.02017,0.012985,13.08,133.4,2.0
-0.895,8.67,-7.223,1022.0,1761.0,0.0403,0.0964,0.004417,90.0,102.1,3.0
-0.673,10.23,-7.473,1373.0,4236.0,0.0157,0.00926,0.004154,73.75,107.75,4.0
-1.095,8.875,-7.367,339.5,4972.0,0.1007,0.0371,0.004345,30.56,73.94,0.0
-1.301,9.766,-7.582,653.5,3944.0,0.11884,0.0965,0.004166,22.73,56.28,1.0
-0.8623,10.164,-7.54,563.5,4560.0,0.0371,0.04575,0.00882,29.84,58.72,2.0
-1.262,10.375,-7.19,876.5,4148.0,0.0736,0.04095,0.00926,54.12,73.06,3.0
-0.868,8.79,-6.77,759.0,4910.0,0.098,0.0633,0.001544,62.84,109.8,4.0
-0.995,10.625,-7.477,963.0,5000.0,0.04297,0.02847,0.01163,21.86,40.62,0.0
-1.228,12.32,-7.508,1152.0,1826.0,0.10297,0.06226,0.00521,35.53,148.0,1.0
-1.14,11.62,-6.83,906.5,2562.0,0.10297,0.02896,0.005276,75.44,31.88,2.0
-0.8223,9.02,-6.58,348.5,2324.0,0.01952,0.028,0.007904,29.83,141.8,3.0
-1.003,11.0,-7.598,611.0,2900.0,0.0493,0.03745,0.01116,28.11,23.56,4.0
-1.157,10.625,-6.11,1181.0,1770.0,0.06415,0.11743,0.00805,37.78,120.44,0.0
-0.872,11.54,-6.242,1205.0,4936.0,0.02065,0.06506,0.00493,58.3,33.12,1.0
-0.914,11.35,-6.52,1333.0,3134.0,0.04877,0.02321,0.007484,31.55,112.5,2.0
-0.785,11.984,-6.938,491.0,4908.0,0.0194,0.04666,0.00635,65.75,39.62,3.0
-1.198,9.32,-6.09,360.5,3214.0,0.0683,0.0905,0.010185,50.53,119.44,4.0
-1.36,12.016,-7.652,458.2,4870.0,0.07715,0.04297,0.01077,91.1,76.6,0.0
-1.137,8.84,-6.63,1499.0,2214.0,0.01451,0.0996,0.0082,27.53,54.5,1.0
-0.761,10.21,-7.086,902.5,5870.0,0.02557,0.01535,0.01292,50.28,118.8,2.0
