like1,partmin_open,partmin_close,parvpd_open,parvpd_close,pargl_sh,pargl_e_wv,parCl,parrbl_min,parrbl_max,chain
-0.6836,8.125,-6.18,446.5,5330.0,0.02568,0.04828,0.004715,79.6,92.8,0.0
-1.038,9.74,-6.95,331.2,2188.0,0.0862,0.0863,0.003838,36.9,90.25,1.0
-0.9243,9.22,-6.71,527.0,4630.0,0.0371,0.1184,0.01177,65.1,103.56,2.0
-0.912,8.984,-6.38,1272.0,5004.0,0.0925,0.0752,0.001696,52.06,143.1,3.0
-1.043,9.85,-6.062,333.5,3774.0,0.05664,0.09576,0.00811,48.28,93.56,4.0
-1.449,8.27,-6.04,496.0,3408.0,0.08295,0.1162,0.01127,16.08,58.53,0.0
-0.973,11.95,-7.836,482.5,5796.0,0.04294,0.1008,0.00834,18.89,132.5,1.0
-1.388,10.11,-7.406,981.5,5036.0,0.09564,0.06192,0.00648,88.2,40.6,2.0
-0.859,10.336,-7.723,1111.0,2042.0,0.03146,0.0662,0.01125,13.266,132.2,3.0
-0.8,9.92,-6.004,1248.0,1702.0,0.01347,0.04672,0.00572,41.56,138.8,4.0
-0.981,8.016,-7.31,1363.0,4548.0,0.03903,0.05276,0.01271,98.25,45.03,0.0
-1.483,11.49,-6.895,1445.0,3430.0,0.10736,0.0743,0.00642,25.34,58.9,1.0
-1.09,8.16,-7.81,455.5,6372.0,0.04596,0.1149,0.01101,62.47,29.08,2.0
-0.8145,8.625,-7.977,1109.0,6156.0,0.02678,0.03772,0.01178,34.38,58.5,3.0
-1.293,10.07,-7.297,1370.0,4776.0,0.09753,0.08563,0.0046,29.6,98.3,4.0
-1.641,11.67,-7.523,783.0,6456.0,0.09106,0.01642,0.01283,36.25,107.5,0.0
-1.714,11.37,-7.05,1092.0,6452.0,0.1158,0.00646,0.00941,60.62,43.75,1.0
-1.568,11.57,-7.793,722.5,4610.0,0.1086,0.02777,0.00938,37.7,144.0,2.0
-1.548,10.62,-6.53,463.8,4616.0,0.08887,0.04413,0.01264,57.72,67.8,3.0
-1.346,8.76,-6.984,1308.0,6468.0,0.06464,0.0816,0.010475,59.38,103.2,4.0
-0.83,11.45,-7.418,872.0,3578.0,0.0574,0.01573,0.004436,23.05,50.0,0.0
-1.096,8.17,-7.812,743.5,5760.0,0.07294,0.09595,0.004414,45.0,51.94,1.0
-1.168,12.31,-6.168,352.5,5630.0,0.012695,0.06247,0.001695,68.94,94.56,2.0
-0.753,10.914,-7.816,1175.0,2754.0,0.03024,0.02275,0.00787,74.4,132.5,3.0
-0.796,10.23,-7.797,456.8,1882.0,0.02122,0.02733,0.01199,63.03,102.9,4.0
-3.479,11.484,-7.543,513.5,3286.0,0.01033,0.06866,0.003767,60.9,122.0,0.0
-1.299,9.93,-6.98,494.5,2542.0,0.1068,0.0479,0.00807,70.8,139.0,1.0
-1.373,10.54,-6.434,1164.0,1844.0,0.0967,0.05453,0.00954,94.06,68.0,2.0
-1.027,11.445,-7.906,454.0,1690.0,0.08435,0.0377,0.0063,43.06,31.25,3.0
-4.797,8.09,-6.61,1109.0,3888.0,0.00983,0.05396,0.00752,86.56,112.9,4.0
-3.775,9.055,-7.68,685.5,3734.0,0.011314,0.04562,0.01032,45.12,31.3,0.0
-0.973,12.48,-7.832,534.0,3816.0,0.0887,0.09326,0.002317,69.5,43.03,1.0
-0.852,8.11,-6.25,1132.0,2150.0,0.02722,0.03117,0.00917,14.04,36.25,2.0
-inf,9.72,-7.06,1082.0,3578.0,0.005104,0.007496,0.011,100.56,115.25,3.0
-1.319,12.445,-7.11,525.5,3416.0,0.08594,0.0159,0.01184,68.56,87.2,4.0
-0.648,8.805,-7.406,445.2,4660.0,0.02576,0.03955,0.002518,100.7,142.2,0.0
-1.982,9.14,-7.945,376.8,6090.0,0.1147,0.07587,0.01282,61.7,23.83,1.0
-1.187,10.64,-7.31,1072.0,2390.0,0.0732,0.09595,0.006836,62.66,42.3,2.0
-1.691,12.33,-7.934,1397.0,5200.0,0.09326,0.02246,0.01268,24.0,101.94,3.0
