like1,partmin_open,partmin_close,parvpd_open,parvpd_close,pargl_sh,pargl_e_wv,parCl,parrbl_min,parrbl_max,chain
-6.207,10.23,-7.53,629.5,4268.0,0.1022,0.10645,0.006878,26.16,141.4,0.0
-2.748,9.375,-7.16,1228.0,6200.0,0.04382,0.1084,0.002941,82.2,140.9,1.0
-1.397,9.2,-7.44,1302.0,2846.0,0.02017,0.01863,0.00595,77.75,24.31,2.0
-5.582,9.8,-7.47,957.5,1995.0,0.1154,0.1041,0.00495,26.12,63.84,3.0
-6.89,11.76,-7.383,638.5,4590.0,0.1123,0.06064,0.012375,83.9,24.16,4.0
-5.363,8.45,-6.29,395.2,3746.0,0.0971,0.0714,0.00642,19.1,68.7,0.0
-3.889,8.4,-7.758,477.5,4656.0,0.0736,0.02327,0.00715,15.53,37.34,1.0
-2.115,10.24,-7.02,1317.0,6040.0,0.0111,0.04883,0.010864,17.8,109.3,2.0
-2.996,8.61,-6.613,1206.0,1841.0,0.05884,0.05966,0.004166,104.4,113.1,3.0
-4.312,10.66,-7.855,505.5,3436.0,0.0932,0.0432,0.00496,43.4,61.66,4.0
-1.926,11.37,-7.023,527.5,2964.0,0.02885,0.06616,0.01151,42.1,101.8,0.0
-1.32,9.45,-7.973,889.0,2428.0,0.014786,0.0897,0.01027,20.7,82.0,1.0
-3.621,10.414,-6.44,613.5,3632.0,0.0632,0.0327,0.00993,69.3,140.2,2.0
-20780.0,11.984,-7.977,755.5,4704.0,0.00507,0.09766,0.01038,96.8,20.62,3.0
-1.347,8.48,-6.215,990.5,3606.0,0.01255,0.1008,0.010864,89.5,100.6,4.0
-7.22,11.99,-6.793,753.5,3990.0,0.1151,0.10876,0.00957,84.8,55.2,0.0
-2.867,8.555,-7.234,1152.0,5580.0,0.06366,0.03336,0.00234,50.5,77.75,1.0
-16.6,12.05,-7.023,879.5,2648.0,0.00789,0.0841,0.00745,96.6,64.6,2.0
-1.993,10.5,-7.66,575.5,4056.0,0.03354,0.01625,0.01117,50.53,94.25,3.0
-4.773,10.06,-6.2,835.0,4104.0,0.10156,0.09955,0.002268,15.4,136.9,4.0
-6.516,12.305,-6.434,973.5,4210.0,0.1023,0.0756,0.011635,45.3,108.2,0.0
-2.568,9.97,-7.33,1301.0,3176.0,0.0593,0.01454,0.00472,31.89,124.56,1.0
-2.303,10.76,-6.688,953.0,1636.0,0.03394,0.1194,0.0048,74.94,77.4,2.0
-4.797,10.02,-7.766,1249.0,6420.0,0.11584,0.06494,0.002033,28.75,133.0,3.0
-5.984,8.85,-6.805,1016.0,3144.0,0.1068,0.093,0.00615,70.94,24.28,4.0
-5.05,11.23,-7.227,918.0,5656.0,0.07385,0.108,0.00894,92.75,141.0,0.0
-1.5205,9.02,-7.637,593.5,3306.0,0.02016,0.1115,0.00685,94.44,64.94,1.0
-1.994,12.336,-6.547,707.0,3830.0,0.04236,0.02545,0.003029,57.94,84.44,2.0
-5.81,8.64,-7.008,598.5,3682.0,0.10455,0.0684,0.0073,35.78,107.7,3.0
-1.789,8.41,-7.754,1166.0,2960.0,0.02827,0.1007,0.003815,18.6,85.7,4.0
-5.23,10.88,-7.008,1234.0,5860.0,0.00878,0.09753,0.008865,101.94,101.4,0.0
-5.145,11.9,-7.457,664.5,4930.0,0.0986,0.11224,0.002829,31.69,24.48,1.0
-1.933,12.39,-7.88,370.2,4772.0,0.0267,0.095,0.00358,15.84,41.6,2.0
-4.445,11.805,-6.043,605.5,2880.0,0.0733,0.07825,0.01102,70.06,77.06,3.0
-5.793,9.39,-6.668,1051.0,5120.0,0.0888,0.10767,0.007507,52.8,101.4,4.0
-3.87,12.18,-6.7,461.8,4884.0,0.07996,0.006245,0.00894,78.94,28.38,0.0
-2.42,9.875,-7.016,336.5,4100.0,0.04196,0.0558,0.004124,92.8,113.4,1.0
-6.223,10.45,-7.4,1066.0,2316.0,0.1168,0.07947,0.00963,41.25,133.5,2.0
-1.88,9.4,-7.66,959.5,3574.0,0.0262,0.08105,0.008896,49.06,130.6,3.0
-2.477,12.0,-7.785,379.0,5660.0,0.03394,0.08936,0.0111,78.6,115.94,4.0
-2.545,10.49,-7.312,492.0,4490.0,0.07666,0.0365,0.001374,93.94,140.1,0.0
-7.566,8.02,-6.836,337.8,4816.0,0.1155,0.10455,0.01214,21.6,81.7,1.0
-3.299,10.09,-6.805,1052.0,4492.0,0.0474,0.10486,0.007687,53.62,91.44,2.0
-3.219,8.086,-6.395,1007.0,4936.0,0.1039,0.02155,0.002028,29.28,61.28,3.0
