like1,partmin_open,partmin_close,parvpd_open,parvpd_close,pargl_sh,pargl_e_wv,parCl,parrbl_min,parrbl_max,chain
-24.8,9.67,-7.66,1301.0,5160.0,0.1017,0.10046,0.0081,96.5,147.5,0.0
-26.36,8.445,-6.67,1463.0,4062.0,0.10675,0.11743,0.004158,57.3,92.9,1.0
-8.01,11.73,-7.918,454.5,2484.0,0.09436,0.00969,0.00863,11.58,42.75,2.0
-18.64,9.73,-7.4,342.8,3748.0,0.0734,0.0913,0.00589,44.6,34.78,3.0
-7.63,12.06,-6.145,1245.0,2570.0,0.05328,0.01535,0.005005,51.3,126.75,4.0
-14.53,11.36,-7.97,428.0,5504.0,0.0523,0.11957,0.00542,98.44,66.8,0.0
-13.1,11.51,-7.43,448.8,3596.0,0.04843,0.08984,0.008804,80.4,20.36,1.0
-13.484,11.4,-7.05,1290.0,1454.0,0.1125,0.01979,0.012344,98.9,90.6,2.0
-21.77,9.79,-6.918,909.0,1966.0,0.1172,0.05673,0.00225,49.9,85.94,3.0
-17.48,9.34,-7.285,959.0,2134.0,0.06824,0.09985,0.00247,23.45,69.6,4.0
-10.45,8.3,-6.867,668.0,5744.0,0.03696,0.08594,0.01212,14.17,53.84,0.0
-15.06,8.8,-6.867,604.0,4988.0,0.05588,0.09375,0.00855,27.81,64.3,1.0
-8.93,9.73,-7.746,1214.0,5564.0,0.03525,0.05017,0.011,30.4,85.75,2.0
-7.625,12.32,-7.438,785.0,2218.0,0.08923,0.00923,0.01141,14.87,83.2,3.0
-20.67,8.54,-6.25,1245.0,5450.0,0.1054,0.05484,0.003538,65.0,27.64,4.0
-22.33,12.13,-6.09,903.0,5760.0,0.1169,0.05597,0.004612,90.8,90.9,0.0
-13.94,9.516,-6.39,772.5,6236.0,0.05112,0.1018,0.005238,43.38,149.4,1.0
-4.64,12.23,-6.26,435.2,2138.0,0.06195,0.00793,0.001498,76.4,103.1,2.0
-14.484,11.25,-7.926,579.5,4268.0,0.0656,0.05194,0.003016,42.28,73.9,3.0
-3.875,9.33,-7.48,458.0,3282.0,0.011314,0.07745,0.002264,34.72,37.2,4.0
-18.95,9.3,-7.656,356.5,5920.0,0.08606,0.05878,0.01279,65.56,56.9,0.0
-9.18,10.39,-6.707,791.5,5860.0,0.0371,0.0469,0.0112,96.25,138.1,1.0
-18.39,10.64,-7.01,420.2,4464.0,0.0919,0.0467,0.01253,15.7,124.7,2.0
-6.67,10.305,-6.145,326.8,6188.0,0.007866,0.02464,0.00568,17.2,96.44,3.0
-17.23,8.37,-6.1,560.5,4756.0,0.1072,0.0333,0.00956,74.8,48.53,4.0
-12.56,11.5,-6.625,562.0,6144.0,0.00635,0.101,0.005394,17.75,138.5,0.0
-3.482,11.87,-7.66,916.0,3584.0,0.02605,0.007668,0.012505,52.25,65.6,1.0
-23.6,10.83,-7.637,628.0,5416.0,0.097,0.0929,0.008675,30.83,33.5,2.0
-14.266,10.21,-7.055,737.5,5676.0,0.10614,0.02415,0.005302,34.75,82.1,3.0
-15.03,11.9,-6.8,609.0,5844.0,0.0991,0.03152,0.002134,54.94,131.2,4.0
-25.28,8.81,-6.78,617.0,3144.0,0.0997,0.11224,0.012,34.06,99.3,0.0
-5.31,9.7,-6.555,516.5,3170.0,0.03848,0.01059,0.012955,45.4,60.28,1.0
-16.7,10.99,-7.65,448.8,5212.0,0.0693,0.0783,0.002432,84.4,48.94,2.0
-3.576,12.32,-7.023,1462.0,5270.0,0.01287,0.04904,0.004032,98.25,138.9,3.0
-25.77,10.37,-7.516,578.0,4610.0,0.10126,0.1153,0.011826,36.75,140.9,4.0
-6.746,9.19,-7.363,822.0,5424.0,0.04495,0.0157,0.002073,43.03,127.56,0.0
-4.97,11.0,-7.723,1142.0,1496.0,0.01958,0.04462,0.0018635,30.34,135.4,1.0
-3.287,11.24,-6.434,411.5,2276.0,0.009476,0.05902,0.00398,85.1,100.06,2.0
-9.04,8.37,-7.527,725.5,3152.0,0.0322,0.08856,0.01227,53.03,143.1,3.0
-5.89,9.61,-6.31,484.8,6456.0,0.0283,0.0209,0.01161,60.6,78.4,4.0
-3.688,11.234,-6.652,1107.0,3094.0,0.011765,0.04675,0.004555,56.62,42.9,0.0
-5.758,10.88,-7.727,764.0,5730.0,0.02003,0.0647,0.00931,15.65,76.06,1.0
-9.34,12.14,-6.105,1058.0,5744.0,0.0347,0.08057,0.001717,44.44,25.25,2.0
-8.54,10.52,-6.07,1311.0,6170.0,0.03406,0.04718,0.01075,47.03,102.56,3.0
-2.8,11.42,-7.39,1197.0,5572.0,0.013405,0.00997,0.01196,75.0,51.22,4.0
-22.73,9.63,-7.195,1179.0,3336.0,0.0886,0.105,0.01197,17.44,33.78,0.0
-2.957,10.086,-6.113,1218.0,6044.0,0.009735,0.02028,0.009575,71.8,102.8,1.0
-20.28,11.82,-6.164,1218.0,2752.0,0.07764,0.10486,0.00912,40.3,55.7,2.0
-10.73,9.76,-7.85,595.5,3938.0,0.0695,0.0205,0.0104,23.34,42.03,3.0
-6.55,8.4,-7.76,520.0,3540.0,0.05963,0.010345,0.0088,76.06,36.06,4.0
-13.1,11.516,-7.73,1085.0,5412.0,0.08905,0.02351,0.00906,25.62,50.66,0.0
-26.83,11.086,-7.285,843.5,4204.0,0.1072,0.1145,0.01007,65.2,56.12,1.0
-4.24,11.91,-6.574,374.0,2078.0,0.01454,0.0812,0.00916,54.78,147.5,2.0
-20.05,10.03,-7.938,748.0,2320.0,0.1031,0.05453,0.003119,96.06,35.56,3.0
-5.92,8.86,-6.938,1376.0,1688.0,0.02888,0.02061,0.01278,95.4,98.2,4.0
-19.98,11.06,-6.195,1219.0,4724.0,0.1167,0.04117,0.00686,48.66,22.9,0.0
-25.2,10.76,-7.24,1488.0,4040.0,0.1159,0.0745,0.010864,48.38,107.5,1.0
-14.53,11.12,-6.492,1252.0,3894.0,0.0657,0.0519,0.003487,88.25,109.4,2.0
-10.52,12.04,-7.438,438.5,5660.0,0.0533,0.032,0.002483,33.03,106.75,3.0
-26.1,8.266,-6.426,841.5,1919.0,0.1061,0.10425,0.01211,25.94,102.56,4.0
-26.27,10.664,-6.63,690.0,3240.0,0.1086,0.1046,0.006584,84.4,24.34,0.0
-11.62,10.93,-7.934,834.5,3118.0,0.10156,0.01654,0.0121,57.6,25.05,1.0
-18.02,11.69,-7.97,1058.0,2050.0,0.09656,0.04224,0.00927,47.1,105.0,2.0
-17.77,9.22,-7.402,1240.0,5708.0,0.1186,0.0314,0.011024,90.0,123.7,3.0
-21.33,10.61,-6.25,1328.0,5196.0,0.0986,0.0742,0.002075,28.39,149.2,4.0
-4.78,11.51,-6.223,997.5,6464.0,0.01701,0.0744,0.004993,54.7,139.1,0.0
-9.65,12.39,-7.01,554.0,2098.0,0.1051,0.01253,0.007725,45.7,32.06,1.0
-24.92,9.266,-6.254,733.0,5956.0,0.11163,0.09485,0.001737,104.7,58.25,2.0
-21.53,9.484,-7.316,770.0,2722.0,0.10657,0.0577,0.006504,50.78,73.6,3.0
-17.27,8.87,-7.83,818.5,4268.0,0.1003,0.0371,0.00663,95.1,90.5,4.0
-11.89,8.625,-6.598,877.0,5284.0,0.005314,0.06525,0.00797,101.0,43.6,0.0
-8.445,9.53,-7.01,581.0,3012.0,0.09393,0.01084,0.00975,87.94,97.7,1.0
-15.875,12.39,-6.535,999.0,2082.0,0.09564,0.032,0.01043,21.83,147.0,2.0
-14.39,12.41,-7.934,795.0,2418.0,0.0805,0.03738,0.001966,66.9,85.9,3.0
-19.78,8.055,-6.406,1350.0,3210.0,0.005215,0.0886,0.003618,75.2,39.62,4.0
-17.12,11.83,-7.875,1256.0,6276.0,0.0731,0.0629,0.01023,69.2,59.47,0.0
-16.33,10.29,-6.85,570.5,5970.0,0.0857,0.0431,0.003202,50.5,36.78,1.0
-16.28,10.836,-7.098,675.0,6080.0,0.0661,0.07947,0.003006,75.3,148.2,2.0
-3.543,10.35,-7.938,344.5,1956.0,0.00963,0.0725,0.008125,49.5,93.2,3.0
-18.28,10.27,-6.207,881.0,6430.0,0.1199,0.03342,0.00824,104.94,113.5,4.0
-20.9,11.766,-6.496,937.5,3026.0,0.09564,0.0635,0.00935,50.97,38.28,0.0
-6.71,9.07,-7.875,953.0,2436.0,0.04156,0.01817,0.00138,65.7,140.8,1.0
-18.98,9.8,-7.27,1281.0,4034.0,0.06976,0.1169,0.01147,85.44,40.44,2.0
-26.66,8.766,-7.785,834.0,1669.0,0.10895,0.1166,0.004288,81.75,145.9,3.0
-8.19,11.664,-7.145,593.5,4668.0,0.03001,0.0899,0.001915,57.06,146.1,4.0
-6.47,9.34,-7.074,424.8,5000.0,0.02292,0.1061,0.002806,100.6,148.4,0.0
-26.83,9.67,-6.875,652.0,1882.0,0.11383,0.10974,0.003057,48.3,38.28,1.0
-10.0,11.02,-6.53,1210.0,2488.0,0.0352,0.1048,0.011925,30.62,115.5,2.0
-25.27,10.18,-6.59,1318.0,5360.0,0.11066,0.08527,0.008194,43.22,149.2,3.0
-19.92,10.02,-6.812,643.5,3874.0,0.0785,0.1107,0.002174,43.47,55.06,4.0
