like1,partmin_open,partmin_close,parvpd_open,parvpd_close,pargl_sh,pargl_e_wv,parCl,parrbl_min,parrbl_max,chain
-1.928,9.61,-7.977,1273.0,1626.0,0.06177,0.05054,0.00668,98.2,75.8,0.0
-1.761,9.87,-6.496,859.0,2810.0,0.03177,0.02417,0.005413,87.06,129.1,1.0
-2.139,9.34,-7.832,1161.0,1511.0,0.06854,0.04428,0.01182,30.61,27.4,2.0
-3.014,8.87,-6.355,1482.0,4676.0,0.0661,0.0727,0.003456,41.34,112.5,3.0
-5.645,8.6,-7.336,920.5,4404.0,0.0986,0.08246,0.01292,58.66,143.4,4.0
-4.766,11.48,-6.176,766.0,4144.0,0.0839,0.0794,0.011665,11.734,82.25,0.0
-1.977,10.91,-7.902,1125.0,1734.0,0.05093,0.1171,0.01154,15.26,97.2,1.0
-2.822,9.42,-6.434,1136.0,4880.0,0.0433,0.08594,0.010124,34.44,136.8,2.0
-6.312,8.78,-6.895,766.5,4708.0,0.11743,0.0527,0.01177,74.5,82.8,3.0
-4.094,8.12,-7.5,1470.0,6028.0,0.0929,0.02596,0.00412,69.2,33.84,4.0
-3.338,8.04,-6.836,1322.0,4006.0,0.05817,0.00571,0.007183,83.0,109.9,0.0
-4.645,11.32,-7.08,1055.0,6330.0,0.0831,0.006996,0.00865,103.3,82.2,1.0
-2.621,9.984,-6.07,455.5,4892.0,0.0523,0.0165,0.004555,79.06,60.5,2.0
-3.305,9.8,-7.96,659.0,5084.0,0.01058,0.01746,0.0015545,70.06,50.06,3.0
-1.544,11.24,-6.73,369.8,1986.0,0.01419,0.05286,0.00796,40.56,28.31,4.0
-4.867,8.85,-6.016,1433.0,5548.0,0.0816,0.0531,0.011,35.66,104.1,0.0
-3.006,12.27,-7.17,833.5,4950.0,0.07007,0.0975,0.003647,47.38,113.94,1.0
-3.127,11.08,-6.688,1126.0,2670.0,0.0783,0.04242,0.005077,59.94,103.5,2.0
-1.469,9.93,-6.297,447.0,4924.0,0.0168,0.05563,0.008865,75.06,70.25,3.0
-1.299,8.9,-6.7,792.5,1541.0,0.1035,0.00923,0.002844,26.08,56.78,4.0
-4.43,12.164,-6.543,1472.0,2460.0,0.09076,0.05597,0.00976,55.16,80.4,0.0
-5.36,11.48,-7.105,463.2,5096.0,0.0983,0.03204,0.01105,71.44,112.0,1.0
-1.5205,9.65,-6.414,882.0,2594.0,0.03848,0.0599,0.00312,69.5,87.1,2.0
-1.195,10.55,-7.1,1039.0,1507.0,0.02585,0.05923,0.01109,13.62,107.3,3.0
-1.073,9.734,-7.85,677.0,3186.0,0.013954,0.0749,0.00149,48.34,123.44,4.0
-4.68,10.93,-7.69,1246.0,3878.0,0.07855,0.02039,0.01246,31.78,140.5,0.0
-5.5,10.586,-7.805,1367.0,4022.0,0.11694,0.09973,0.00684,98.7,20.06,1.0
-2.422,8.03,-7.355,1026.0,3710.0,0.04532,0.01175,0.004803,87.25,85.5,2.0
-2.754,9.98,-7.926,934.5,1948.0,0.0948,0.08234,0.00716,84.4,66.6,3.0
-1.789,10.22,-6.426,495.5,1740.0,0.0776,0.04108,0.007206,29.06,139.9,4.0
-4.52,9.44,-7.04,1319.0,3336.0,0.1147,0.05334,0.00484,67.8,89.06,0.0
-3.725,9.42,-6.926,592.0,3690.0,0.06525,0.0475,0.0105,63.75,141.4,1.0
-3.484,11.84,-7.215,1273.0,6068.0,0.06696,0.083,0.005154,85.7,23.27,2.0
-1.679,9.414,-6.926,1196.0,2510.0,0.02736,0.00793,0.007305,58.5,131.5,3.0
-5.773,10.664,-7.863,443.8,4300.0,0.10754,0.0745,0.01237,44.84,148.9,4.0
-1.28,12.01,-6.586,1287.0,1799.0,0.08563,0.06036,0.001642,55.66,120.1,0.0
-1.662,11.27,-7.832,702.0,3766.0,0.02617,0.01531,0.00531,103.7,117.25,1.0
-1.708,10.7,-7.73,1376.0,3066.0,0.02016,0.07526,0.0074,73.75,23.88,2.0
-2.725,11.33,-6.07,408.5,5044.0,0.0936,0.081,0.00247,35.03,107.56,3.0
-2.248,9.0,-6.74,498.2,4984.0,0.1186,0.08984,0.0016575,21.77,139.5,4.0
-5.406,8.24,-6.21,1371.0,6270.0,0.0894,0.01141,0.01292,82.4,33.9,0.0
-1.899,12.305,-6.438,1025.0,2656.0,0.0282,0.1001,0.010544,55.66,25.97,1.0
-3.35,9.52,-7.434,1340.0,1826.0,0.1006,0.0226,0.00885,65.06,96.06,2.0
-3.82,9.59,-6.59,801.0,5228.0,0.06396,0.04605,0.00996,102.6,146.9,3.0
-4.59,11.586,-7.227,1279.0,4148.0,0.0891,0.0629,0.00725,25.61,60.8,4.0
-4.18,12.195,-6.527,1261.0,2090.0,0.1117,0.04874,0.00986,44.53,116.8,0.0
-5.05,12.02,-7.59,1180.0,3616.0,0.1157,0.06137,0.006275,44.3,148.6,1.0
-2.174,9.09,-6.188,807.5,3558.0,0.03128,0.0654,0.01261,46.22,85.8,2.0
-4.695,10.61,-7.77,906.0,3682.0,0.0858,0.0861,0.01042,89.75,146.0,3.0
-3.014,10.43,-7.305,825.5,6452.0,0.05673,0.10406,0.004974,50.44,60.22,4.0
-1.8125,12.22,-7.324,1184.0,3988.0,0.02328,0.005867,0.00967,93.25,26.95,0.0
-4.13,10.66,-7.555,1010.5,5516.0,0.0802,0.04312,0.00631,63.6,76.9,1.0
-9.836,8.81,-7.312,604.0,2872.0,0.00934,0.0961,0.00542,50.44,107.25,2.0
-1.974,12.086,-7.41,747.5,3574.0,0.0737,0.04053,0.002047,10.4,117.0,3.0
-4.086,11.59,-6.402,1099.0,2862.0,0.0786,0.03842,0.00965,71.3,99.6,4.0
-2.91,12.2,-6.445,1063.0,5380.0,0.04614,0.04773,0.0088,64.0,41.97,0.0
-4.297,11.734,-6.836,353.8,5970.0,0.0953,0.1168,0.005558,21.11,92.56,1.0
-1.216,10.695,-7.723,907.5,1826.0,0.01388,0.0863,0.005142,40.94,65.9,2.0
-1.694,10.87,-6.793,485.2,5680.0,0.03613,0.02187,0.002356,13.03,25.27,3.0
-5.277,11.37,-7.516,496.8,2976.0,0.1167,0.0424,0.01104,62.56,135.5,4.0
-3.193,11.98,-7.215,979.5,5504.0,0.04855,0.1003,0.01275,67.7,108.2,0.0
-1.706,12.484,-7.164,869.5,4184.0,0.024,0.0864,0.007587,68.44,106.44,1.0
-2.924,9.3,-7.11,1492.0,4300.0,0.05078,0.11414,0.00587,29.47,128.1,2.0
-5.68,9.45,-7.605,948.0,4700.0,0.11316,0.05573,0.00851,48.34,69.1,3.0
-4.277,8.305,-6.016,1254.0,2962.0,0.0973,0.06647,0.00614,85.4,42.06,4.0
-4.74,9.625,-7.195,1499.0,2740.0,0.0894,0.09845,0.01004,13.76,53.56,0.0
-3.824,8.46,-7.902,623.5,2634.0,0.1045,0.03485,0.007095,81.2,99.7,1.0
-3.543,12.23,-7.0,1345.0,1776.0,0.0994,0.10376,0.01255,27.11,77.4,2.0
-4.652,12.1,-6.066,1459.0,5156.0,0.10077,0.03986,0.00526,13.3,63.84,3.0
-3.234,12.3,-6.402,1154.0,2876.0,0.063,0.01448,0.00729,63.62,95.44,4.0
-3.488,8.58,-6.09,416.0,2180.0,0.1022,0.04123,0.01109,39.78,128.6,0.0
