like1,partmin_open,partmin_close,parvpd_open,parvpd_close,pargl_sh,pargl_e_wv,parCl,parrbl_min,parrbl_max,chain
-1.43,10.555,-6.086,835.0,2486.0,0.097,0.1,0.00848,63.8,92.7,0.0
-15.46,11.44,-7.1,824.5,1646.0,0.0089,0.0999,0.01247,73.0,93.5,1.0
-1.381,8.62,-6.727,376.2,5564.0,0.1175,0.01686,0.006413,35.22,112.3,2.0
-1.078,11.2,-6.13,1157.0,5596.0,0.10004,0.07434,0.002775,47.03,141.0,3.0
-1.455,9.125,-6.086,1456.0,3172.0,0.107,0.00682,0.008194,97.1,144.1,4.0
-1.051,11.766,-7.695,1047.0,2092.0,0.08057,0.1039,0.002804,93.94,60.03,0.0
-1.685,8.38,-6.273,1372.0,4720.0,0.0949,0.1146,0.008934,94.25,31.47,1.0
-0.8843,8.414,-6.27,1053.0,5276.0,0.05685,0.0994,0.002832,64.94,144.2,2.0
-0.6885,8.83,-7.715,1045.0,3244.0,0.0191,0.0697,0.00793,99.7,120.56,3.0
-0.805,10.125,-7.32,857.5,4308.0,0.05484,0.0626,0.002367,80.56,81.4,4.0
-0.8696,9.664,-7.434,579.0,6212.0,0.0316,0.0674,0.009476,36.62,43.25,0.0
-0.74,11.17,-6.062,978.5,5084.0,0.02802,0.01584,0.008965,31.53,112.0,1.0
-0.7773,8.336,-6.86,1367.0,6270.0,0.02509,0.006287,0.00493,99.2,29.56,2.0
-1.156,9.945,-6.6,1116.0,6070.0,0.07336,0.08044,0.004974,55.7,132.1,3.0
-3.912,11.805,-6.18,1181.0,1647.0,0.01133,0.1173,0.01094,88.75,26.19,4.0
-0.724,11.695,-6.42,630.0,3340.0,0.01979,0.10425,0.00421,55.84,64.3,0.0
-1.555,9.16,-6.035,1366.0,3154.0,0.1136,0.0947,0.006256,83.9,73.75,1.0
-0.683,9.0,-6.24,1138.0,3828.0,0.04056,0.01029,0.002811,87.8,44.5,2.0
-1.16,11.31,-6.5,450.5,5676.0,0.05853,0.0731,0.0087,22.61,134.8,3.0
-1.402,12.32,-7.766,842.0,5852.0,0.11304,0.03595,0.005745,104.75,60.22,4.0
-1.572,10.12,-7.14,1333.0,4350.0,0.0925,0.0095,0.011536,28.64,96.94,0.0
-0.717,11.375,-7.08,590.0,2634.0,0.01593,0.0845,0.005447,101.9,135.2,1.0
-0.8154,11.23,-6.844,1051.0,2924.0,0.0913,0.0356,0.0015135,16.84,72.8,2.0
-0.997,11.77,-6.914,475.0,5556.0,0.0748,0.06744,0.003578,29.98,135.9,3.0
-1.09,12.234,-7.246,1391.0,5310.0,0.05588,0.0717,0.006977,98.6,142.6,4.0
-0.7935,11.99,-7.895,658.0,4764.0,0.02809,0.0945,0.010414,99.0,105.2,0.0
-1.394,8.35,-6.824,938.5,3528.0,0.1026,0.1087,0.005585,10.2,147.5,1.0
-0.923,11.07,-6.332,1041.0,5428.0,0.03836,0.02531,0.010826,65.2,51.03,2.0
-1.069,10.93,-6.66,1235.0,1943.0,0.0805,0.0753,0.003422,14.305,70.4,3.0
-0.756,8.16,-6.027,1211.0,5176.0,0.0161,0.0454,0.004612,98.9,79.1,4.0
-1.658,8.2,-6.992,1482.0,2998.0,0.09296,0.05887,0.01276,59.66,147.2,0.0
-0.915,10.25,-6.688,1063.0,1584.0,0.0743,0.01469,0.00364,19.61,140.1,1.0
-0.9194,8.16,-7.758,1496.0,4764.0,0.1174,0.05374,0.001596,71.6,39.88,2.0
-1.694,10.4,-7.363,846.5,2740.0,0.01159,0.0696,0.004776,74.2,86.1,3.0
-40.38,9.53,-6.18,1172.0,5336.0,0.008125,0.07874,0.005116,63.88,143.5,4.0
-1.492,11.68,-7.887,1090.0,4018.0,0.0907,0.1069,0.00795,48.62,126.3,0.0
-0.804,8.58,-7.67,398.8,4344.0,0.0429,0.1141,0.00318,41.72,73.9,1.0
-0.7544,11.85,-6.523,341.2,4416.0,0.0316,0.01976,0.0028,12.63,101.75,2.0
-1.981,11.13,-7.402,1298.0,6070.0,0.10986,0.06415,0.01172,46.84,35.53,3.0
-1.505,9.914,-7.812,1414.0,3142.0,0.0902,0.005848,0.012695,48.38,83.56,4.0
-0.8115,8.945,-6.348,561.5,4356.0,0.01521,0.05,0.00858,84.2,91.2,0.0
-1.669,9.6,-7.46,481.8,5450.0,0.09186,0.0861,0.01142,63.3,123.06,1.0
-1.096,10.18,-6.945,1370.0,3184.0,0.04877,0.1083,0.011955,19.95,93.94,2.0
